"Date","Apple","Google","Amazon","Microsoft","HP"
"2008-03-31",137.93,220.46,71.3,24.44,44.51
"2008-04-01",143.72,233.09,76.7,25.4,45.07
"2008-04-02",141.76,233.08,77.37,25.11,46.06
"2008-04-03",145.72,227.79,74.94,24.97,46.51
"2008-04-04",147.13,235.78,76.87,25.11,46.93
"2008-04-07",149.83,238.65,76.9,25.11,47.42
"2008-04-08",146.9,234.14,77.3,24.76,48.24
"2008-04-09",145.56,232.33,74.39,24.88,48.79
"2008-04-10",148.55,234.77,74.83,25.07,49.48
"2008-04-11",141.42,228.95,71.99,24.35,49.02
"2008-04-14",142.04,226.06,72.61,24.16,50.23
"2008-04-15",142.62,223.64,72.5,24.32,51.28
"2008-04-16",147.73,227.74,74.59,24.93,51.93
"2008-04-17",148.49,224.99,74.04,25.16,51.78
"2008-04-18",154.78,269.97,80.1,25.83,53.69
"2008-04-21",161.63,269.16,80.18,26.19,53.36
"2008-04-22",153.98,277.78,79.6,26.05,53.85
"2008-04-23",156.56,273.52,81,27.08,52.35
"2008-04-24",162.38,271.79,77.69,27.38,51.07
"2008-04-25",163.14,272.3,80.86,25.69,53.03
"2008-04-28",165.55,276.34,81.97,24.96,52.29
"2008-04-29",168.25,279.51,80.74,24.66,50.25
"2008-04-30",167.19,287.43,78.63,24.56,51.05
"2008-05-01",173.01,296.84,79.36,25.32,47.55
"2008-05-02",173.91,290.94,77.31,25.18,51.86
"2008-05-05",177.55,297.75,75.92,25.04,52.25
"2008-05-06",179.41,293.47,75.71,25.57,53.69
"2008-05-07",175.5,289.79,73.18,25.15,52.99
"2008-05-08",177.87,291.8,72.79,25.2,54.41
"2008-05-09",176.32,286.89,72.41,25.31,55.06
"2008-05-12",180.85,292.76,74.53,25.82,54.1
"2008-05-13",182.58,291.79,74.56,25.74,55.6
"2008-05-14",179.02,288.44,74.2,25.87,55.77
"2008-05-15",182.36,290.79,76.12,26.32,57.15
"2008-05-16",180.33,290.33,76.46,25.92,58.23
"2008-05-19",176.47,289.05,82.29,25.46,58.73
"2008-05-20",178.68,289.59,80.72,24.86,59.17
"2008-05-21",171.27,275.27,78.3,24.41,58.18
"2008-05-22",170.17,275.01,79.26,24.6,57.88
"2008-05-23",174.13,272.58,78.35,24.24,57.06
"2008-05-27",179.19,280.73,80.62,24.58,56.54
"2008-05-28",179.75,284.4,80.08,24.35,57.27
"2008-05-29",179.44,291.79,80.35,24.47,57.76
"2008-05-30",181.42,293.19,81.62,24.47,59.55
