"Date","Citibank","Wells Fargo","Bank of America","JP Morgan","Bank of Ozarks","SP500"
"2008-03-31",21.53,25.27,34.9,37.35,10.69,1322.7
"2008-04-01",23.08,27.35,37.61,40.87,10.85,1370.18
"2008-04-02",23,26.52,37.1,40.54,10.81,1367.53
"2008-04-03",21.69,26.74,37.16,40.57,10.69,1369.31
"2008-04-04",20.95,26.86,36.28,39.95,10.49,1370.4
"2008-04-07",20.94,26.74,36.36,39.92,10.58,1372.54
"2008-04-08",20.65,25.99,35.33,39.33,10.83,1365.54
"2008-04-09",19.88,25.58,34.92,38.83,10.62,1354.49
"2008-04-10",20.77,24.77,34.7,38.45,10.7,1360.55
"2008-04-11",20.19,24.29,34.01,37.28,10.9,1332.83
"2008-04-14",19.21,23.62,32.75,36.38,11.29,1328.32
"2008-04-15",18.85,24.15,32.75,36.92,11.35,1334.43
"2008-04-16",19.62,25.2,34.04,39.41,11.78,1364.71
"2008-04-17",18.92,25.8,34.49,39.55,11.66,1365.56
"2008-04-18",18.64,26.4,35.5,40.11,11.68,1390.33
"2008-04-21",18.19,25.42,34.62,39.65,11.55,1388.17
"2008-04-22",18.28,25.52,34.06,40.02,11.33,1375.94
"2008-04-23",18.49,25.12,33.93,39.58,11.21,1379.93
"2008-04-24",19.12,25.92,34.86,41.18,11.55,1388.82
"2008-04-25",19.06,26.57,35.26,41.89,11.55,1397.84
"2008-04-28",18.13,26.35,35.15,41.5,11.49,1396.37
"2008-04-29",17.96,25.95,34.85,41.27,11.26,1390.94
"2008-04-30",17.52,25.84,34.56,41.77,11.21,1385.59
"2008-05-01",18.55,27.08,36.26,43.17,11.44,1409.34
"2008-05-02",18.18,27.05,36.63,42.66,11.08,1413.9
"2008-05-05",17.69,27.05,35.87,42.08,11.06,1407.49
"2008-05-06",17.27,27.16,36.12,42.25,10.94,1418.26
"2008-05-07",16.46,26.23,34.98,40.82,10.77,1392.57
"2008-05-08",15.85,25.77,34.36,40.37,10.7,1397.68
"2008-05-09",16.04,25.73,33.74,40.82,10.71,1388.28
"2008-05-12",15.55,26.11,34.47,41.41,11.03,1403.58
"2008-05-13",15.3,25.41,33.7,39.87,11.27,1403.04
"2008-05-14",14.82,25.36,33.88,40.25,11.4,1408.66
"2008-05-15",14.83,25.97,33.79,41.22,11.44,1423.57
"2008-05-16",14.72,25.4,33.3,40.79,11.39,1425.35
"2008-05-19",14.6,24.98,33.23,40.32,11.52,1426.63
"2008-05-20",14.48,24.61,32.58,38.31,11.23,1413.4
"2008-05-21",14.14,24.3,31.88,37.19,11.16,1390.71
