Date,Adj Close
2008-03-31,56.45
2008-04-01,57.77
2008-04-02,57.57
2008-04-03,58.1
2008-04-04,57.74
2008-04-07,57.61
2008-04-08,58.16
2008-04-09,57.37
2008-04-10,57.8
2008-04-11,57.09
2008-04-14,56.76
2008-04-15,57.1
2008-04-16,58.43
2008-04-17,59.51
2008-04-18,60.33
2008-04-21,60.05
2008-04-22,59.16
2008-04-23,60.48
2008-04-24,61.01
2008-04-25,62.16
2008-04-28,61.54
2008-04-29,61.69
2008-04-30,61.91
2008-05-01,62.56
2008-05-02,62.68
2008-05-05,62.94
2008-05-06,63.13
2008-05-07,62.63
2008-05-08,61.87
2008-05-09,62.07
2008-05-12,64.02
2008-05-13,64.28
2008-05-14,64.63
2008-05-15,64.83
2008-05-16,63.8
2008-05-19,62.79
2008-05-20,62.17
2008-05-21,60.42
2008-05-22,61.62
2008-05-23,62.1
2008-05-27,63.21
2008-05-28,63.78
2008-05-29,63.55
2008-05-30,62.1
2008-06-02,61.24
2008-06-03,60.99
2008-06-04,61.66
2008-06-05,64.0
2008-06-06,61.99
2008-06-09,62.11
2008-06-10,61.36
2008-06-11,59.97
2008-06-12,59.39
2008-06-13,61.23
2008-06-16,61.32
2008-06-17,60.89
2008-06-18,60.05
2008-06-19,61.16
2008-06-20,59.85
2008-06-23,59.6
2008-06-24,60.31
2008-06-25,61.73
2008-06-26,60.11
2008-06-27,61.18
2008-06-30,61.08
2008-07-01,63.18
2008-07-02,62.81
2008-07-03,62.9
2008-07-07,63.45
2008-07-08,65.01
2008-07-09,62.83
2008-07-10,61.7
2008-07-11,60.81
2008-07-14,60.58
2008-07-15,60.58
2008-07-16,63.2
2008-07-17,64.55
2008-07-18,62.9
2008-07-21,60.66
2008-07-22,62.7
2008-07-23,55.23
2008-07-24,54.84
2008-07-25,53.78
2008-07-28,52.55
2008-07-29,53.8
2008-07-30,54.86
2008-07-31,54.58
2008-08-01,54.16
2008-08-04,54.44
2008-08-05,56.28
2008-08-06,57.37
2008-08-07,57.46
2008-08-08,58.48
2008-08-11,58.58
2008-08-12,59.17
2008-08-13,58.44
2008-08-14,58.61
2008-08-15,59.36
2008-08-18,58.85
2008-08-19,58.02
2008-08-20,57.56
2008-08-21,57.83
2008-08-22,58.86
2008-08-25,58.01
2008-08-26,58.07
2008-08-27,58.23
2008-08-28,59.19
