Date,Adj Close
2008-03-31,44.51
2008-04-01,45.07
2008-04-02,46.06
2008-04-03,46.51
2008-04-04,46.93
2008-04-07,47.42
2008-04-08,48.24
2008-04-09,48.79
2008-04-10,49.48
2008-04-11,49.02
2008-04-14,50.23
2008-04-15,51.28
2008-04-16,51.93
2008-04-17,51.78
2008-04-18,53.69
2008-04-21,53.36
2008-04-22,53.85
2008-04-23,52.35
2008-04-24,51.07
2008-04-25,53.03
2008-04-28,52.29
2008-04-29,50.25
2008-04-30,51.05
2008-05-01,47.55
2008-05-02,51.86
2008-05-05,52.25
2008-05-06,53.69
2008-05-07,52.99
2008-05-08,54.41
2008-05-09,55.06
2008-05-12,54.1
2008-05-13,55.6
2008-05-14,55.77
2008-05-15,57.15
2008-05-16,58.23
2008-05-19,58.73
2008-05-20,59.17
2008-05-21,58.18
2008-05-22,57.88
2008-05-23,57.06
2008-05-27,56.54
2008-05-28,57.27
2008-05-29,57.76
2008-05-30,59.55
2008-06-02,60.27
2008-06-03,60.33
2008-06-04,60.47
2008-06-05,63.22
2008-06-06,62.0
2008-06-09,63.45
2008-06-10,62.16
2008-06-11,63.79
2008-06-12,63.04
2008-06-13,62.5
2008-06-16,63.68
2008-06-17,67.01
2008-06-18,67.48
2008-06-19,67.98
2008-06-20,68.46
2008-06-23,73.18
2008-06-24,69.82
2008-06-25,68.24
2008-06-26,68.22
2008-06-27,68.33
2008-06-30,68.45
2008-07-01,68.14
2008-07-02,66.89
2008-07-03,65.35
2008-07-07,63.1
2008-07-08,60.52
2008-07-09,61.15
2008-07-10,63.11
2008-07-11,64.16
2008-07-14,64.95
2008-07-15,62.78
2008-07-16,60.88
2008-07-17,56.31
2008-07-18,57.21
2008-07-21,60.16
2008-07-22,58.7
2008-07-23,54.33
2008-07-24,53.96
2008-07-25,55.07
2008-07-28,55.88
2008-07-29,54.05
2008-07-30,58.17
2008-07-31,56.2
2008-08-01,58.28
2008-08-04,52.1
2008-08-05,51.28
2008-08-06,53.82
2008-08-07,52.82
2008-08-08,50.37
2008-08-11,50.43
2008-08-12,51.1
2008-08-13,52.58
2008-08-14,51.59
2008-08-15,50.78
2008-08-18,49.91
2008-08-19,50.17
2008-08-20,53.07
2008-08-21,54.4
2008-08-22,53.86
2008-08-25,53.17
2008-08-26,54.58
2008-08-27,55.43
2008-08-28,54.95
2008-08-29,54.34
2008-09-02,49.47
2008-09-03,49.0
2008-09-04,47.8
2008-09-05,46.93
2008-09-08,44.68
2008-09-09,40.91
2008-09-10,43.8
2008-09-11,43.51
2008-09-12,45.64
2008-09-15,42.72
2008-09-16,44.33
2008-09-17,43.43
2008-09-18,44.48
2008-09-19,50.1
2008-09-22,50.36
2008-09-23,46.04
2008-09-24,45.69
2008-09-25,45.05
2008-09-26,43.49
2008-09-29,38.44
2008-09-30,41.09
2008-10-01,39.99
2008-10-02,35.17
2008-10-03,34.64
2008-10-06,30.99
2008-10-07,29.36
2008-10-08,29.44
2008-10-09,27.43
2008-10-10,22.94
2008-10-13,29.02
2008-10-14,29.39
2008-10-15,23.74
2008-10-16,24.66
2008-10-17,24.5
2008-10-20,27.03
2008-10-21,28.3
2008-10-22,27.08
2008-10-23,27.11
2008-10-24,26.09
2008-10-27,23.92
2008-10-28,26.69
2008-10-29,29.08
2008-10-30,31.84
2008-10-31,32.64
2008-11-03,31.49
2008-11-04,33.7
2008-11-05,31.58
2008-11-06,28.31
2008-11-07,27.67
2008-11-10,27.71
2008-11-11,25.67
2008-11-12,23.35
2008-11-13,26.39
2008-11-14,24.78
2008-11-17,24.67
2008-11-18,25.2
2008-11-19,22.43
2008-11-20,18.59
2008-11-21,19.75
2008-11-24,21.48
2008-11-25,22.43
2008-11-26,25.32
2008-11-28,24.17
2008-12-01,20.04
2008-12-02,19.73
2008-12-03,19.78
2008-12-04,17.25
2008-12-05,17.97
2008-12-08,18.99
2008-12-09,19.87
2008-12-10,21.61
2008-12-11,21.28
2008-12-12,21.23
2008-12-15,21.39
2008-12-16,22.5
2008-12-17,22.02
2008-12-18,19.4
2008-12-19,20.06
2008-12-22,18.8
2008-12-23,18.88
2008-12-24,18.92
2008-12-26,19.57
2008-12-29,20.21
2008-12-30,20.81
2008-12-31,21.68
2009-01-02,23.88
2009-01-05,25.43
2009-01-06,25.99
2009-01-07,24.53
2009-01-08,24.69
2009-01-09,23.52
2009-01-12,22.42
2009-01-13,23.61
2009-01-14,21.65
2009-01-15,22.21
2009-01-16,22.25
2009-01-20,20.34
2009-01-21,23.1
2009-01-22,22.08
2009-01-23,23.49
2009-01-26,23.81
2009-01-27,23.4
2009-01-28,23.67
2009-01-29,21.35
2009-01-30,21.41
2009-02-02,20.43
2009-02-03,20.43
2009-02-04,20.66
2009-02-05,21.26
2009-02-06,22.13
2009-02-09,22.64
2009-02-10,21.37
2009-02-11,21.33
2009-02-12,21.27
2009-02-13,21.8
2009-02-17,20.78
2009-02-18,21.16
2009-02-19,22.13
2009-02-20,21.69
2009-02-23,20.81
2009-02-24,21.87
2009-02-25,22.32
2009-02-26,22.44
2009-02-27,22.6
2009-03-02,19.77
2009-03-03,19.22
2009-03-04,20.2
2009-03-05,19.34
2009-03-06,19.39
2009-03-09,19.82
2009-03-10,21.57
2009-03-11,21.37
2009-03-12,22.39
2009-03-13,21.25
2009-03-16,21.72
2009-03-17,22.26
2009-03-18,22.15
2009-03-19,23.49
2009-03-20,21.92
2009-03-23,23.5
2009-03-24,22.78
2009-03-25,23.44
2009-03-26,25.05
2009-03-27,23.3
2009-03-30,22.28
2009-03-31,21.75
2009-04-01,22.55
2009-04-02,24.39
2009-04-03,27.28
2009-04-06,26.56
2009-04-07,25.68
2009-04-08,26.13
2009-04-09,27.67
2009-04-13,27.52
2009-04-14,27.27
2009-04-15,28.18
2009-04-16,30.39
2009-04-17,31.45
2009-04-20,28.56
2009-04-21,31.03
2009-04-22,31.81
2009-04-23,30.51
2009-04-24,31.29
2009-04-27,30.56
2009-04-28,30.41
2009-04-29,32.08
2009-04-30,29.44
2009-05-01,29.93
2009-05-04,31.72
2009-05-05,31.52
2009-05-06,33.26
