Date,Adj Close
2008-03-31,24.44
2008-04-01,25.4
2008-04-02,25.11
2008-04-03,24.97
2008-04-04,25.11
2008-04-07,25.11
2008-04-08,24.76
2008-04-09,24.88
2008-04-10,25.07
2008-04-11,24.35
2008-04-14,24.16
2008-04-15,24.32
2008-04-16,24.93
2008-04-17,25.16
2008-04-18,25.83
2008-04-21,26.19
2008-04-22,26.05
2008-04-23,27.08
2008-04-24,27.38
2008-04-25,25.69
2008-04-28,24.96
2008-04-29,24.66
2008-04-30,24.56
2008-05-01,25.32
2008-05-02,25.18
2008-05-05,25.04
2008-05-06,25.57
2008-05-07,25.15
2008-05-08,25.2
2008-05-09,25.31
2008-05-12,25.82
2008-05-13,25.74
2008-05-14,25.87
2008-05-15,26.32
2008-05-16,25.92
2008-05-19,25.46
2008-05-20,24.86
2008-05-21,24.41
2008-05-22,24.6
2008-05-23,24.24
2008-05-27,24.58
2008-05-28,24.35
2008-05-29,24.47
2008-05-30,24.47
2008-06-02,24.03
2008-06-03,23.6
2008-06-04,23.8
2008-06-05,24.46
2008-06-06,23.76
2008-06-09,23.95
2008-06-10,24.1
2008-06-11,23.44
2008-06-12,24.41
2008-06-13,25.12
2008-06-16,25.0
2008-06-17,24.89
2008-06-18,24.6
2008-06-19,25.0
2008-06-20,24.4
2008-06-23,24.17
2008-06-24,23.97
2008-06-25,24.5
2008-06-26,23.98
2008-06-27,23.88
2008-06-30,23.77
2008-07-01,23.22
2008-07-02,22.37
2008-07-03,22.45
2008-07-07,22.5
2008-07-08,22.34
2008-07-09,21.8
2008-07-10,21.99
2008-07-11,21.82
2008-07-14,21.74
2008-07-15,22.6
2008-07-16,23.56
2008-07-17,23.78
2008-07-18,22.35
2008-07-21,22.16
2008-07-22,22.3
2008-07-23,22.84
2008-07-24,21.99
2008-07-25,22.61
2008-07-28,22.04
2008-07-29,22.57
2008-07-30,22.67
2008-07-31,22.23
2008-08-01,21.99
2008-08-04,21.85
2008-08-05,22.65
2008-08-06,23.35
2008-08-07,23.67
2008-08-08,24.31
2008-08-11,24.11
2008-08-12,24.3
2008-08-13,24.12
2008-08-14,24.12
2008-08-15,24.03
2008-08-18,23.93
2008-08-19,23.7
2008-08-20,23.68
2008-08-21,23.58
2008-08-22,24.16
2008-08-25,24.0
2008-08-26,23.66
2008-08-27,23.91
2008-08-28,24.24
2008-08-29,23.68
2008-09-02,23.51
2008-09-03,23.34
2008-09-04,22.86
2008-09-05,22.26
2008-09-08,22.66
2008-09-09,22.65
2008-09-10,22.94
2008-09-11,23.72
2008-09-12,23.97
2008-09-15,23.27
2008-09-16,22.55
2008-09-17,21.32
2008-09-18,21.92
2008-09-19,21.83
2008-09-22,22.04
2008-09-23,22.07
2008-09-24,22.32
2008-09-25,23.09
2008-09-26,23.77
2008-09-29,21.7
2008-09-30,23.16
2008-10-01,22.98
2008-10-02,22.78
2008-10-03,22.84
2008-10-06,21.61
2008-10-07,20.16
2008-10-08,19.97
2008-10-09,19.35
2008-10-10,18.66
2008-10-13,22.13
2008-10-14,20.91
2008-10-15,19.66
2008-10-16,20.99
2008-10-17,20.76
2008-10-20,21.45
2008-10-21,20.27
2008-10-22,18.68
2008-10-23,19.37
2008-10-24,19.05
2008-10-27,18.38
2008-10-28,20.04
2008-10-29,19.96
2008-10-30,19.64
2008-10-31,19.38
2008-11-03,19.63
2008-11-04,20.42
2008-11-05,19.16
2008-11-06,18.12
2008-11-07,18.66
2008-11-10,18.48
2008-11-11,18.39
2008-11-12,17.61
2008-11-13,18.44
2008-11-14,17.41
2008-11-17,16.76
2008-11-18,17.14
2008-11-19,15.98
2008-11-20,15.31
2008-11-21,17.19
2008-11-24,18.07
2008-11-25,17.46
2008-11-26,17.9
2008-11-28,17.66
2008-12-01,16.26
2008-12-02,16.73
2008-12-03,17.36
2008-12-04,16.69
2008-12-05,17.36
2008-12-08,18.35
2008-12-09,18.0
2008-12-10,18.0
2008-12-11,16.99
2008-12-12,16.91
2008-12-15,16.63
2008-12-16,17.57
2008-12-17,17.17
2008-12-18,16.86
2008-12-19,16.7
2008-12-22,16.75
2008-12-23,16.84
2008-12-24,16.75
2008-12-26,16.71
2008-12-29,16.56
2008-12-30,16.89
2008-12-31,16.98
2009-01-02,17.76
2009-01-05,17.93
2009-01-06,18.13
2009-01-07,17.04
2009-01-08,17.58
2009-01-09,17.05
2009-01-12,17.01
2009-01-13,17.31
2009-01-14,16.68
2009-01-15,16.81
2009-01-16,17.22
2009-01-20,16.14
2009-01-21,16.93
