Date,Adj Close
2008-03-31,22.66
2008-04-01,23.07
2008-04-02,22.68
2008-04-03,22.5
2008-04-04,22.33
2008-04-07,22.23
2008-04-08,22.15
2008-04-09,22.11
2008-04-10,22.31
2008-04-11,21.85
2008-04-14,21.54
2008-04-15,21.69
2008-04-16,20.62
2008-04-17,21.48
2008-04-18,21.86
2008-04-21,21.63
2008-04-22,21.04
2008-04-23,21.69
2008-04-24,22.57
2008-04-25,22.42
2008-04-28,23.08
2008-04-29,24.43
2008-04-30,24.4
2008-05-01,24.56
2008-05-02,24.26
2008-05-05,24.26
2008-05-06,23.97
2008-05-07,24.01
2008-05-08,24.15
2008-05-09,23.66
2008-05-12,24.09
2008-05-13,24.06
2008-05-14,24.93
2008-05-15,24.81
2008-05-16,24.1
2008-05-19,24.16
2008-05-20,23.96
2008-05-21,23.6
2008-05-22,23.85
2008-05-23,23.57
2008-05-27,24.06
2008-05-28,24.18
2008-05-29,24.45
2008-05-30,24.6
2008-06-02,24.22
2008-06-03,24.26
2008-06-04,24.62
2008-06-05,25.21
2008-06-06,24.26
2008-06-09,24.13
2008-06-10,24.03
2008-06-11,23.45
2008-06-12,23.89
2008-06-13,23.96
2008-06-16,23.78
2008-06-17,23.31
2008-06-18,23.01
2008-06-19,23.35
2008-06-20,22.97
2008-06-23,22.31
2008-06-24,22.96
2008-06-25,23.54
2008-06-26,22.84
2008-06-27,22.75
2008-06-30,22.1
2008-07-01,22.39
2008-07-02,21.69
2008-07-03,22.25
2008-07-07,22.03
2008-07-08,22.34
2008-07-09,22.1
2008-07-10,22.89
2008-07-11,22.52
2008-07-14,22.18
2008-07-15,22.37
2008-07-16,23.23
2008-07-17,20.73
2008-07-18,19.84
2008-07-21,19.93
2008-07-22,20.34
2008-07-23,20.62
2008-07-24,20.12
2008-07-25,20.08
2008-07-28,20.07
2008-07-29,20.87
2008-07-30,20.71
2008-07-31,20.69
2008-08-01,20.76
2008-08-04,20.95
2008-08-05,22.04
2008-08-06,21.59
2008-08-07,21.25
2008-08-08,21.5
2008-08-11,21.74
2008-08-12,21.86
2008-08-13,21.63
2008-08-14,22.0
2008-08-15,21.62
2008-08-18,21.0
2008-08-19,20.86
2008-08-20,20.53
2008-08-21,19.87
2008-08-22,19.91
2008-08-25,19.68
2008-08-26,20.2
2008-08-27,20.08
2008-08-28,20.36
2008-08-29,20.39
2008-09-02,20.63
2008-09-03,21.06
2008-09-04,21.06
2008-09-05,20.25
2008-09-08,20.71
2008-09-09,20.42
2008-09-10,20.15
2008-09-11,20.5
2008-09-12,19.73
2008-09-15,19.01
2008-09-16,19.1
2008-09-17,18.68
2008-09-18,19.82
2008-09-19,19.73
2008-09-22,19.12
2008-09-23,18.92
2008-09-24,18.61
2008-09-25,19.01
2008-09-26,19.2
2008-09-29,18.28
2008-09-30,18.43
2008-10-01,18.62
2008-10-02,18.5
2008-10-03,17.52
2008-10-06,16.91
2008-10-07,17.75
2008-10-08,18.4
2008-10-09,17.31
2008-10-10,15.88
2008-10-13,17.19
2008-10-14,17.71
2008-10-15,16.13
2008-10-16,17.42
2008-10-17,17.45
2008-10-20,17.84
2008-10-21,17.11
2008-10-22,16.48
2008-10-23,16.73
2008-10-24,16.21
2008-10-27,15.6
2008-10-28,15.92
2008-10-29,16.2
2008-10-30,16.7
2008-10-31,16.52
2008-11-03,16.51
2008-11-04,17.2
2008-11-05,16.78
2008-11-06,17.11
2008-11-07,17.51
2008-11-10,17.16
2008-11-11,16.77
2008-11-12,16.02
2008-11-13,17.24
2008-11-14,16.31
2008-11-17,16.14
2008-11-18,16.12
2008-11-19,15.54
2008-11-20,13.92
2008-11-21,14.39
2008-11-24,15.34
2008-11-25,16.05
2008-11-26,16.67
2008-11-28,16.93
2008-12-01,16.23
2008-12-02,16.26
2008-12-03,16.94
2008-12-04,16.65
2008-12-05,18.41
2008-12-08,18.35
2008-12-09,17.12
2008-12-10,17.7
2008-12-11,17.73
2008-12-12,17.73
2008-12-15,17.97
2008-12-16,18.42
2008-12-17,18.29
2008-12-18,18.11
2008-12-19,18.06
2008-12-22,17.66
2008-12-23,17.67
2008-12-24,17.31
2008-12-26,17.39
2008-12-29,17.39
2008-12-30,18.18
2008-12-31,18.53
2009-01-02,18.75
2009-01-05,18.76
2009-01-06,17.88
2009-01-07,18.34
2009-01-08,18.36
2009-01-09,18.09
2009-01-12,18.04
2009-01-13,17.95
2009-01-14,17.83
2009-01-15,17.81
2009-01-16,18.33
2009-01-20,17.85
2009-01-21,18.23
2009-01-22,18.07
2009-01-23,18.02
2009-01-26,18.39
2009-01-27,18.31
2009-01-28,18.41
2009-01-29,17.89
2009-01-30,16.71
2009-02-02,16.74
2009-02-03,16.89
2009-02-04,16.25
2009-02-05,16.15
2009-02-06,16.61
2009-02-09,17.08
2009-02-10,15.98
2009-02-11,16.19
2009-02-12,16.13
2009-02-13,16.18
2009-02-17,15.52
2009-02-18,15.63
2009-02-19,15.86
2009-02-20,16.29
2009-02-23,15.66
2009-02-24,15.99
2009-02-25,16.47
2009-02-26,14.32
2009-02-27,14.42
2009-03-02,14.25
2009-03-03,14.03
2009-03-04,14.3
2009-03-05,13.91
2009-03-06,13.67
2009-03-09,13.44
2009-03-10,14.26
2009-03-11,14.34
2009-03-12,14.87
2009-03-13,15.0
2009-03-16,15.23
2009-03-17,15.4
2009-03-18,15.4
2009-03-19,15.32
2009-03-20,15.24
2009-03-23,16.04
2009-03-24,16.07
2009-03-25,16.24
2009-03-26,16.71
2009-03-27,16.23
2009-03-30,15.79
2009-03-31,15.8
2009-04-01,16.17
2009-04-02,16.31
2009-04-03,16.58
2009-04-06,16.21
2009-04-07,15.69
2009-04-08,16.27
2009-04-09,15.81
2009-04-13,15.76
2009-04-14,15.44
2009-04-15,15.62
2009-04-16,16.0
2009-04-17,16.13
2009-04-20,15.8
2009-04-21,15.87
2009-04-22,16.02
2009-04-23,15.71
2009-04-24,15.77
2009-04-27,16.17
2009-04-28,16.13
2009-04-29,16.66
2009-04-30,15.46
2009-05-01,15.26
2009-05-04,15.76
2009-05-05,15.87
2009-05-06,15.61
2009-05-07,15.37
2009-05-08,15.22
2009-05-11,15.09
2009-05-12,15.03
2009-05-13,15.15
2009-05-14,15.33
2009-05-15,15.05
2009-05-18,15.37
2009-05-19,15.28
2009-05-20,15.27
2009-05-21,15.57
2009-05-22,15.69
2009-05-26,15.63
2009-05-27,15.37
2009-05-28,15.72
2009-05-29,15.86
2009-06-01,16.51
2009-06-02,16.28
2009-06-03,16.16
2009-06-04,16.23
2009-06-05,16.13
2009-06-08,16.0
2009-06-09,16.64
2009-06-10,16.48
2009-06-11,16.42
2009-06-12,16.64
2009-06-15,16.09
2009-06-16,16.18
2009-06-17,16.07
2009-06-18,16.45
2009-06-19,16.38
2009-06-22,16.31
2009-06-23,16.45
2009-06-24,16.45
2009-06-25,16.35
2009-06-26,16.06
2009-06-29,16.16
2009-06-30,16.02
2009-07-01,15.96
2009-07-02,15.35
2009-07-06,15.61
2009-07-07,15.33
2009-07-08,15.4
2009-07-09,15.3
2009-07-10,15.23
2009-07-13,15.49
2009-07-14,15.57
2009-07-15,15.75
2009-07-16,15.74
2009-07-17,15.49
2009-07-20,15.57
2009-07-21,15.5
2009-07-22,15.68
2009-07-23,14.43
2009-07-24,14.66
2009-07-27,14.72
2009-07-28,14.83
2009-07-29,14.86
2009-07-30,15.02
2009-07-31,14.89
2009-08-03,14.97
2009-08-04,14.66
2009-08-05,14.64
2009-08-06,14.65
2009-08-07,14.57
2009-08-10,14.82
2009-08-11,15.0
2009-08-12,15.09
2009-08-13,14.94
2009-08-14,14.77
2009-08-17,14.79
2009-08-18,14.68
2009-08-19,14.76
2009-08-20,14.83
2009-08-21,15.11
2009-08-24,14.87
2009-08-25,15.14
2009-08-26,15.35
2009-08-27,15.39
2009-08-28,15.31
2009-08-31,14.98
2009-09-01,14.93
2009-09-02,14.99
2009-09-03,15.1
2009-09-04,15.37
2009-09-08,15.39
2009-09-09,15.55
2009-09-10,15.65
2009-09-11,15.74
2009-09-14,15.89
2009-09-15,15.32
2009-09-16,15.18
2009-09-17,15.1
2009-09-18,15.35
2009-09-21,15.27
2009-09-22,15.39
2009-09-23,15.17
2009-09-24,15.18
2009-09-25,15.41
2009-09-28,15.62
2009-09-29,15.66
2009-09-30,15.59
2009-10-01,15.44
2009-10-02,15.63
2009-10-05,15.73
2009-10-06,16.07
2009-10-07,16.26
2009-10-08,16.48
2009-10-09,16.86
2009-10-12,16.84
2009-10-13,16.6
2009-10-14,16.94
2009-10-15,18.05
2009-10-16,18.43
2009-10-19,18.49
2009-10-20,18.35
2009-10-21,17.59
2009-10-22,18.0
2009-10-23,17.71
2009-10-26,17.9
2009-10-27,17.8
2009-10-28,17.65
2009-10-29,17.99
2009-10-30,17.65
2009-11-02,17.76
2009-11-03,17.86
2009-11-04,17.67
2009-11-05,17.93
2009-11-06,18.06
2009-11-09,18.42
2009-11-10,18.36
2009-11-11,18.45
2009-11-12,18.19
2009-11-13,18.34
2009-11-16,18.38
2009-11-17,18.24
2009-11-18,17.98
2009-11-19,17.79
2009-11-20,17.88
2009-11-23,18.01
2009-11-24,17.85
2009-11-25,17.94
2009-11-27,17.74
2009-11-30,17.79
2009-12-01,17.99
2009-12-02,17.77
2009-12-03,17.4
2009-12-04,17.63
2009-12-07,17.73
2009-12-08,16.53
2009-12-09,16.73
2009-12-10,16.92
2009-12-11,17.18
2009-12-14,17.13
2009-12-15,16.85
2009-12-16,16.94
2009-12-17,16.7
2009-12-18,16.52
2009-12-21,16.73
2009-12-22,16.96
2009-12-23,16.93
2009-12-24,17.15
2009-12-28,17.15
2009-12-29,17.04
2009-12-30,17.12
2009-12-31,16.91
2010-01-04,17.06
2010-01-05,16.92
2010-01-06,16.94
2010-01-07,16.74
2010-01-08,16.79
2010-01-11,16.92
2010-01-12,17.14
2010-01-13,17.2
2010-01-14,17.01
2010-01-15,16.93
2010-01-19,17.38
2010-01-20,18.33
2010-01-21,18.04
2010-01-22,18.06
2010-01-25,17.95
2010-01-26,17.71
2010-01-27,17.77
2010-01-28,17.99
2010-01-29,17.83
2010-02-01,17.98
2010-02-02,18.1
2010-02-03,17.99
2010-02-04,17.52
2010-02-05,17.52
2010-02-08,17.46
2010-02-09,17.66
2010-02-10,17.68
2010-02-11,17.98
2010-02-12,17.8
2010-02-16,18.09
2010-02-17,18.43
2010-02-18,18.63
2010-02-19,18.9
2010-02-22,18.9
2010-02-23,18.57
2010-02-24,18.67
2010-02-25,19.64
2010-02-26,19.8
2010-03-01,19.85
2010-03-02,19.76
2010-03-03,19.43
2010-03-04,19.56
2010-03-05,19.6
2010-03-08,19.64
2010-03-09,19.49
2010-03-10,19.45
2010-03-11,19.46
2010-03-12,19.72
2010-03-15,19.77
2010-03-16,19.88
2010-03-17,20.12
2010-03-18,19.58
2010-03-19,19.1
2010-03-22,19.3
2010-03-23,19.5
2010-03-24,19.35
2010-03-25,19.44
2010-03-26,19.49
2010-03-29,19.81
2010-03-30,19.85
2010-03-31,19.83
2010-04-01,20.21
2010-04-05,20.4
2010-04-06,20.34
2010-04-07,20.35
2010-04-08,20.28
2010-04-09,20.35
2010-04-12,20.49
2010-04-13,20.75
2010-04-14,21.01
2010-04-15,21.08
2010-04-16,21.01
2010-04-19,20.91
2010-04-20,21.13
2010-04-21,21.38
2010-04-22,21.49
2010-04-23,21.35
2010-04-26,21.22
2010-04-27,20.13
2010-04-28,20.28
2010-04-29,19.07
2010-04-30,18.82
2010-05-03,19.12
2010-05-04,19.11
2010-05-05,19.38
2010-05-06,18.83
2010-05-07,18.59
2010-05-10,19.05
2010-05-11,19.14
2010-05-12,19.28
2010-05-13,18.95
2010-05-14,18.62
2010-05-17,18.87
2010-05-18,18.81
2010-05-19,18.9
2010-05-20,18.05
2010-05-21,18.17
2010-05-24,17.86
2010-05-25,17.8
2010-05-26,17.44
2010-05-27,17.72
2010-05-28,17.66
2010-06-01,17.66
2010-06-02,17.75
2010-06-03,17.7
2010-06-04,16.99
2010-06-07,16.89
2010-06-08,16.67
2010-06-09,16.45
2010-06-10,16.67
2010-06-11,16.62
2010-06-14,16.71
2010-06-15,17.02
2010-06-16,16.97
2010-06-17,17.27
2010-06-18,16.62
2010-06-21,16.25
2010-06-22,16.29
2010-06-23,16.26
2010-06-24,15.97
2010-06-25,15.94
2010-06-28,15.98
2010-06-29,15.73
2010-06-30,15.77
2010-07-01,15.89
2010-07-02,15.73
2010-07-06,15.45
2010-07-07,15.86
2010-07-08,15.83
2010-07-09,16.09
2010-07-12,15.93
2010-07-13,16.1
2010-07-14,16.17
2010-07-15,16.22
2010-07-16,15.91
2010-07-19,16.01
2010-07-20,16.43
2010-07-21,16.22
2010-07-22,15.79
2010-07-23,15.69
2010-07-26,16.1
2010-07-27,16.25
2010-07-28,16.13
2010-07-29,16.41
2010-07-30,16.48
2010-08-02,16.89
2010-08-03,16.82
2010-08-04,16.73
2010-08-05,17.09
2010-08-06,17.1
2010-08-09,17.44
2010-08-10,17.38
2010-08-11,17.05
2010-08-12,17.0
2010-08-13,16.99
2010-08-16,16.89
2010-08-17,17.2
2010-08-18,16.42
2010-08-19,16.07
2010-08-20,16.06
2010-08-23,15.95
2010-08-24,15.77
2010-08-25,15.89
2010-08-26,15.72
2010-08-27,15.61
2010-08-30,15.29
2010-08-31,15.08
2010-09-01,15.32
2010-09-02,15.56
2010-09-03,15.75
2010-09-07,15.57
2010-09-08,15.62
2010-09-09,15.81
2010-09-10,15.98
2010-09-13,16.18
2010-09-14,16.22
2010-09-15,16.39
2010-09-16,16.3
2010-09-17,16.33
2010-09-20,16.83
2010-09-21,16.78
2010-09-22,16.8
2010-09-23,16.88
2010-09-24,17.1
2010-09-27,16.93
2010-09-28,16.83
2010-09-29,16.99
2010-09-30,17.08
2010-10-01,17.12
2010-10-04,16.9
2010-10-05,17.19
2010-10-06,17.21
2010-10-07,17.14
2010-10-08,17.1
2010-10-11,16.91
2010-10-12,16.7
2010-10-13,17.21
2010-10-14,17.48
2010-10-15,17.56
2010-10-18,18.11
2010-10-19,17.66
2010-10-20,17.6
2010-10-21,17.56
2010-10-22,17.99
2010-10-25,18.16
2010-10-26,18.3
2010-10-27,18.27
2010-10-28,18.33
2010-10-29,18.48
2010-11-01,18.36
2010-11-02,18.58
2010-11-03,18.75
2010-11-04,19.3
2010-11-05,19.16
2010-11-08,18.84
2010-11-09,18.46
2010-11-10,18.68
2010-11-11,18.44
2010-11-12,18.6
2010-11-15,18.71
2010-11-16,18.39
2010-11-17,18.37
2010-11-18,18.42
2010-11-19,18.37
2010-11-22,18.46
2010-11-23,18.28
2010-11-24,18.33
2010-11-26,18.25
2010-11-29,18.21
2010-11-30,18.55
2010-12-01,18.83
2010-12-02,17.99
2010-12-03,17.59
2010-12-06,17.32
2010-12-07,17.0
2010-12-08,17.39
2010-12-09,17.37
2010-12-10,17.31
2010-12-13,17.1
2010-12-14,16.89
2010-12-15,17.04
2010-12-16,17.33
2010-12-17,17.4
2010-12-20,17.54
2010-12-21,17.89
2010-12-22,18.05
2010-12-23,18.11
2010-12-27,18.01
2010-12-28,18.05
2010-12-29,18.12
2010-12-30,18.27
2010-12-31,18.25
2011-01-03,18.25
2011-01-04,17.56
2011-01-05,17.41
2011-01-06,17.23
2011-01-07,17.15
2011-01-10,17.17
2011-01-11,16.95
2011-01-12,17.18
2011-01-13,17.15
2011-01-14,17.07
2011-01-18,17.07
2011-01-19,16.84
2011-01-20,17.16
2011-01-21,17.06
2011-01-24,17.12
2011-01-25,17.02
2011-01-26,16.83
2011-01-27,16.76
2011-01-28,16.64
2011-01-31,16.79
2011-02-01,16.97
2011-02-02,16.64
2011-02-03,17.07
2011-02-04,17.06
2011-02-07,17.07
2011-02-08,17.2
2011-02-09,17.5
2011-02-10,17.53
2011-02-11,17.54
2011-02-14,17.59
2011-02-15,17.67
2011-02-16,18.01
2011-02-17,18.22
2011-02-18,18.17
2011-02-22,18.08
2011-02-23,17.89
2011-02-24,17.54
2011-02-25,17.48
2011-02-28,17.71
2011-03-01,17.42
2011-03-02,17.48
2011-03-03,17.58
2011-03-04,17.71
2011-03-07,17.53
2011-03-08,17.49
2011-03-09,17.86
2011-03-10,18.19
2011-03-11,18.55
2011-03-14,18.44
2011-03-15,18.4
2011-03-16,18.07
2011-03-17,17.97
2011-03-18,18.2
2011-03-21,18.41
2011-03-22,18.22
2011-03-23,18.24
2011-03-24,18.62
2011-03-25,18.51
2011-03-28,18.22
2011-03-29,18.9
2011-03-30,19.22
2011-03-31,19.2
2011-04-01,19.16
2011-04-04,19.11
2011-04-05,19.53
2011-04-06,19.44
2011-04-07,19.67
2011-04-08,19.47
2011-04-11,19.43
2011-04-12,19.58
2011-04-13,19.62
2011-04-14,20.28
2011-04-15,20.26
2011-04-18,20.38
2011-04-19,20.22
2011-04-20,20.29
2011-04-21,20.1
2011-04-25,20.31
2011-04-26,20.38
2011-04-27,20.62
2011-04-28,20.08
2011-04-29,19.83
2011-05-02,19.74
2011-05-03,19.64
2011-05-04,19.57
2011-05-05,19.8
2011-05-06,19.78
2011-05-09,19.94
2011-05-10,20.16
2011-05-11,19.98
2011-05-12,20.33
2011-05-13,20.39
2011-05-16,20.38
2011-05-17,20.56
2011-05-18,20.62
2011-05-19,20.74
2011-05-20,20.56
2011-05-23,20.32
2011-05-24,19.96
2011-05-25,19.77
2011-05-26,19.89
2011-05-27,20.0
2011-05-31,20.15
2011-06-01,18.89
2011-06-02,18.5
2011-06-03,18.18
2011-06-06,17.96
2011-06-07,18.02
2011-06-08,18.21
2011-06-09,18.28
2011-06-10,18.02
2011-06-13,18.1
2011-06-14,18.12
2011-06-15,17.91
2011-06-16,18.53
2011-06-17,18.55
2011-06-20,18.6
2011-06-21,18.88
2011-06-22,18.74
2011-06-23,18.85
2011-06-24,18.51
2011-06-27,18.48
2011-06-28,18.56
2011-06-29,19.06
2011-06-30,19.19
2011-07-01,19.39
2011-07-05,19.0
2011-07-06,18.88
2011-07-07,19.43
2011-07-08,19.26
2011-07-11,19.07
2011-07-12,19.37
2011-07-13,19.43
2011-07-14,19.53
2011-07-15,19.5
2011-07-18,19.39
2011-07-19,19.84
2011-07-20,19.4
2011-07-21,17.63
2011-07-22,17.18
2011-07-25,16.83
2011-07-26,16.79
2011-07-27,16.69
2011-07-28,16.56
2011-07-29,16.56
2011-08-01,16.37
2011-08-02,15.76
2011-08-03,16.11
2011-08-04,15.76
2011-08-05,15.53
2011-08-08,14.71
2011-08-09,15.02
2011-08-10,14.46
2011-08-11,14.71
2011-08-12,14.84
2011-08-15,14.92
2011-08-16,15.0
2011-08-17,15.13
2011-08-18,14.36
2011-08-19,14.03
2011-08-22,13.97
2011-08-23,14.13
2011-08-24,14.06
2011-08-25,13.8
2011-08-26,14.02
2011-08-29,14.71
2011-08-30,14.84
2011-08-31,15.05
2011-09-01,14.7
2011-09-02,14.49
2011-09-06,14.61
2011-09-07,15.11
2011-09-08,15.34
2011-09-09,14.7
2011-09-12,14.64
2011-09-13,14.57
2011-09-14,14.77
2011-09-15,15.05
2011-09-16,14.53
2011-09-19,14.51
2011-09-20,14.17
2011-09-21,13.7
2011-09-22,13.39
2011-09-23,13.29
2011-09-26,14.01
2011-09-27,13.99
2011-09-28,13.68
2011-09-29,14.06
2011-09-30,13.77
2011-10-03,13.51
2011-10-04,14.29
2011-10-05,14.42
2011-10-06,14.85
2011-10-07,14.43
2011-10-10,14.54
2011-10-11,14.45
2011-10-12,14.88
2011-10-13,14.84
2011-10-14,14.63
2011-10-17,14.61
2011-10-18,14.87
2011-10-19,15.02
2011-10-20,15.05
2011-10-21,15.6
2011-10-24,15.86
2011-10-25,15.71
2011-10-26,15.89
2011-10-27,16.44
2011-10-28,16.35
2011-10-31,16.03
2011-11-01,15.73
2011-11-02,15.92
2011-11-03,15.86
2011-11-04,15.99
2011-11-07,16.29
2011-11-08,16.52
2011-11-09,16.03
2011-11-10,16.28
2011-11-11,16.61
2011-11-14,16.51
2011-11-15,16.4
2011-11-16,16.29
2011-11-17,15.71
2011-11-18,15.83
2011-11-21,15.86
2011-11-22,15.35
2011-11-23,15.21
2011-11-25,15.59
2011-11-28,16.05
2011-11-29,15.8
2011-11-30,16.56
2011-12-01,16.61
2011-12-02,16.73
2011-12-05,17.16
2011-12-06,17.14
2011-12-07,17.1
2011-12-08,17.04
2011-12-09,17.44
2011-12-12,17.39
2011-12-13,17.47
2011-12-14,17.09
2011-12-15,17.37
2011-12-16,17.03
2011-12-19,16.86
2011-12-20,17.12
2011-12-21,17.41
2011-12-22,17.45
2011-12-23,17.61
2011-12-27,17.67
