Date,Adj Close
2008-03-31,44.99
2008-04-01,47.29
2008-04-02,47.45
2008-04-03,47.28
2008-04-04,46.76
2008-04-07,46.85
2008-04-08,47.28
2008-04-09,46.47
2008-04-10,47.2
2008-04-11,46.14
2008-04-14,46.13
2008-04-15,46.65
2008-04-16,47.61
2008-04-17,47.42
2008-04-18,48.47
2008-04-21,48.43
2008-04-22,46.73
2008-04-23,46.5
2008-04-24,46.96
2008-04-25,47.92
2008-04-28,47.89
2008-04-29,48.03
2008-04-30,47.17
2008-05-01,48.15
2008-05-02,47.86
2008-05-05,47.22
2008-05-06,47.44
2008-05-07,47.44
2008-05-08,46.47
2008-05-09,46.38
2008-05-12,47.48
2008-05-13,47.28
2008-05-14,47.81
2008-05-15,48.92
2008-05-16,48.85
2008-05-19,48.88
2008-05-20,48.32
2008-05-21,47.06
2008-05-22,47.18
2008-05-23,46.32
2008-05-27,46.42
2008-05-28,46.57
2008-05-29,47.84
2008-05-30,47.49
2008-06-02,47.01
2008-06-03,48.95
2008-06-04,48.24
2008-06-05,48.62
2008-06-06,46.75
2008-06-09,46.68
2008-06-10,47.34
2008-06-11,45.94
2008-06-12,46.47
2008-06-13,47.65
2008-06-16,47.25
2008-06-17,46.68
2008-06-18,45.26
2008-06-19,46.11
2008-06-20,44.49
2008-06-23,43.38
2008-06-24,43.76
2008-06-25,44.4
2008-06-26,42.4
2008-06-27,42.61
2008-06-30,41.38
2008-07-01,42.3
2008-07-02,41.56
2008-07-03,41.74
2008-07-07,41.98
2008-07-08,43.32
2008-07-09,42.12
2008-07-10,39.95
2008-07-11,39.82
2008-07-14,39.09
2008-07-15,38.88
2008-07-16,41.1
2008-07-17,42.34
2008-07-18,41.72
2008-07-21,40.64
2008-07-22,40.91
2008-07-23,41.14
2008-07-24,39.95
2008-07-25,39.67
2008-07-28,39.13
2008-07-29,40.66
2008-07-30,40.85
2008-07-31,40.26
2008-08-01,39.77
2008-08-04,40.06
2008-08-05,42.71
2008-08-06,42.73
2008-08-07,40.73
2008-08-08,43.38
2008-08-11,45.6
2008-08-12,43.93
2008-08-13,42.79
2008-08-14,44.19
2008-08-15,45.75
2008-08-18,44.69
2008-08-19,44.39
2008-08-20,44.72
2008-08-21,45.59
2008-08-22,47.02
2008-08-25,46.31
2008-08-26,47.28
2008-08-27,47.19
2008-08-28,48.11
2008-08-29,47.34
2008-09-02,49.14
2008-09-03,49.12
2008-09-04,48.06
2008-09-05,49.13
2008-09-08,51.69
2008-09-09,50.2
2008-09-10,50.66
2008-09-11,51.45
2008-09-12,51.12
2008-09-15,49.46
2008-09-16,51.67
2008-09-17,47.85
2008-09-18,49.58
2008-09-19,47.61
2008-09-22,44.46
2008-09-23,44.2
2008-09-24,43.98
2008-09-25,44.84
2008-09-26,45.95
2008-09-29,42.28
2008-09-30,43.79
2008-10-01,42.18
2008-10-02,39.91
2008-10-03,38.98
2008-10-06,37.81
2008-10-07,35.59
2008-10-08,36.87
2008-10-09,33.51
2008-10-10,33.04
2008-10-13,36.44
2008-10-14,35.52
2008-10-15,31.89
2008-10-16,33.85
2008-10-17,35.15
2008-10-20,33.99
2008-10-21,33.66
2008-10-22,29.83
2008-10-23,30.29
2008-10-24,29.39
2008-10-27,29.19
2008-10-28,34.38
2008-10-29,36.36
2008-10-30,34.28
2008-10-31,35.82
2008-11-03,35.11
2008-11-04,36.92
2008-11-05,33.7
2008-11-06,31.67
2008-11-07,32.61
2008-11-10,32.4
2008-11-11,32.01
2008-11-12,29.71
2008-11-13,31.54
2008-11-14,29.49
2008-11-17,28.29
2008-11-18,26.98
2008-11-19,24.19
2008-11-20,25.13
2008-11-21,25.2
2008-11-24,27.32
2008-11-25,28.72
2008-11-26,31.52
2008-11-28,30.3
2008-12-01,26.51
2008-12-02,28.29
2008-12-03,30.94
2008-12-04,30.55
2008-12-05,31.37
2008-12-08,34.39
2008-12-09,34.08
2008-12-10,34.86
2008-12-11,33.7
2008-12-12,32.16
2008-12-15,31.13
2008-12-16,32.43
2008-12-17,32.06
2008-12-18,31.79
2008-12-19,30.89
2008-12-22,29.42
2008-12-23,28.67
2008-12-24,29.03
2008-12-26,28.93
2008-12-29,29.07
2008-12-30,30.11
2008-12-31,30.99
2009-01-02,31.08
2009-01-05,32.43
2009-01-06,34.2
2009-01-07,33.21
2009-01-08,33.67
2009-01-09,31.77
