Date,Adj Close
2008-03-31,25.27
2008-04-01,27.35
2008-04-02,26.52
2008-04-03,26.74
2008-04-04,26.86
2008-04-07,26.74
2008-04-08,25.99
2008-04-09,25.58
2008-04-10,24.77
2008-04-11,24.29
2008-04-14,23.62
2008-04-15,24.15
2008-04-16,25.2
2008-04-17,25.8
2008-04-18,26.4
2008-04-21,25.42
2008-04-22,25.52
2008-04-23,25.12
2008-04-24,25.92
2008-04-25,26.57
2008-04-28,26.35
2008-04-29,25.95
2008-04-30,25.84
2008-05-01,27.08
2008-05-02,27.05
2008-05-05,27.05
2008-05-06,27.16
2008-05-07,26.23
2008-05-08,25.77
2008-05-09,25.73
2008-05-12,26.11
2008-05-13,25.41
2008-05-14,25.36
2008-05-15,25.97
2008-05-16,25.4
2008-05-19,24.98
2008-05-20,24.61
2008-05-21,24.3
2008-05-22,24.48
2008-05-23,24.28
2008-05-27,24.18
2008-05-28,24.1
2008-05-29,24.54
2008-05-30,24.18
2008-06-02,23.78
2008-06-03,23.49
2008-06-04,23.37
2008-06-05,23.86
2008-06-06,22.3
2008-06-09,22.17
2008-06-10,22.73
2008-06-11,22.41
2008-06-12,22.82
2008-06-13,22.88
2008-06-16,23.14
2008-06-17,22.28
2008-06-18,22.31
2008-06-19,22.48
2008-06-20,21.49
2008-06-23,21.28
2008-06-24,22.11
2008-06-25,22.28
2008-06-26,21.11
2008-06-27,21.08
2008-06-30,20.83
2008-07-01,21.16
2008-07-02,20.69
2008-07-03,20.98
2008-07-07,20.63
2008-07-08,21.64
2008-07-09,20.8
2008-07-10,20.71
2008-07-11,20.18
2008-07-14,18.92
2008-07-15,17.99
2008-07-16,23.89
2008-07-17,24.41
2008-07-18,24.44
2008-07-21,24.16
2008-07-22,26.69
2008-07-23,26.71
2008-07-24,25.57
2008-07-25,25.52
2008-07-28,24.5
2008-07-29,26.72
2008-07-30,27.37
2008-07-31,26.55
2008-08-01,26.75
2008-08-04,26.47
2008-08-05,27.67
2008-08-06,26.88
2008-08-07,25.72
2008-08-08,26.75
2008-08-11,28.03
2008-08-12,26.94
2008-08-13,25.97
2008-08-14,26.75
2008-08-15,26.39
2008-08-18,25.54
2008-08-19,24.64
2008-08-20,25.65
2008-08-21,25.22
2008-08-22,26.04
2008-08-25,25.42
2008-08-26,25.44
2008-08-27,25.64
2008-08-28,26.98
2008-08-29,26.84
2008-09-02,27.68
2008-09-03,27.5
2008-09-04,26.31
2008-09-05,27.67
2008-09-08,29.76
2008-09-09,27.64
2008-09-10,28.11
2008-09-11,30.02
2008-09-12,30.41
2008-09-15,27.49
2008-09-16,30.97
2008-09-17,29.64
2008-09-18,32.81
2008-09-19,35.29
2008-09-22,31.2
2008-09-23,30.3
2008-09-24,30.39
2008-09-25,30.26
2008-09-26,33.09
2008-09-29,29.48
2008-09-30,33.28
2008-10-01,32.54
2008-10-02,31.18
2008-10-03,30.65
2008-10-06,29.83
2008-10-07,27.13
2008-10-08,28.29
2008-10-09,24.16
2008-10-10,25.1
2008-10-13,26.96
2008-10-14,29.72
2008-10-15,29.57
2008-10-16,30.06
2008-10-17,28.43
2008-10-20,28.58
2008-10-21,28.94
2008-10-22,27.76
2008-10-23,27.78
2008-10-24,27.41
2008-10-27,27.34
2008-10-28,30.56
2008-10-29,28.47
2008-10-30,28.23
2008-10-31,30.19
2008-11-03,29.97
2008-11-04,31.13
2008-11-05,28.37
2008-11-06,25.76
2008-11-07,26.42
2008-11-10,25.63
2008-11-11,25.82
2008-11-12,24.45
2008-11-13,26.05
2008-11-14,25.73
2008-11-17,24.92
2008-11-18,24.36
2008-11-19,21.85
2008-11-20,20.17
2008-11-21,19.48
2008-11-24,23.3
2008-11-25,24.13
2008-11-26,25.65
2008-11-28,25.87
2008-12-01,20.96
2008-12-02,23.18
2008-12-03,25.16
2008-12-04,24.67
2008-12-05,26.81
2008-12-08,29.24
2008-12-09,27.31
2008-12-10,26.14
2008-12-11,23.19
2008-12-12,23.93
2008-12-15,23.34
2008-12-16,26.67
2008-12-17,26.85
2008-12-18,26.55
2008-12-19,26.29
2008-12-22,24.55
2008-12-23,24.17
2008-12-24,24.61
2008-12-26,24.63
2008-12-29,24.92
2008-12-30,25.79
2008-12-31,26.4
2009-01-02,26.86
2009-01-05,25.13
2009-01-06,24.66
2009-01-07,23.16
2009-01-08,23.03
2009-01-09,22.51
2009-01-12,21.31
2009-01-13,21.83
2009-01-14,20.66
2009-01-15,18.05
2009-01-16,16.73
2009-01-20,12.74
2009-01-21,14.91
2009-01-22,14.14
2009-01-23,14.21
2009-01-26,13.86
2009-01-27,14.5
2009-01-28,18.97
2009-01-29,16.82
2009-01-30,16.92
2009-02-02,17.22
