Date,Adj Close
2008-03-31,45.85
2008-04-01,47.07
2008-04-02,47.4
2008-04-03,47.81
2008-04-04,47.35
2008-04-07,47.2
2008-04-08,47.39
2008-04-09,47.12
2008-04-10,47.57
2008-04-11,47.69
2008-04-14,48.0
2008-04-15,48.97
2008-04-16,49.67
2008-04-17,49.32
2008-04-18,49.01
2008-04-21,49.07
2008-04-22,49.22
2008-04-23,49.54
2008-04-24,50.0
2008-04-25,50.17
2008-04-28,49.91
2008-04-29,51.01
2008-04-30,50.46
2008-05-01,50.54
2008-05-02,50.04
2008-05-05,49.58
2008-05-06,49.04
2008-05-07,49.46
2008-05-08,49.75
2008-05-09,49.77
2008-05-12,50.5
2008-05-13,49.3
2008-05-14,50.21
2008-05-15,49.92
2008-05-16,49.85
2008-05-19,49.29
2008-05-20,48.9
2008-05-21,48.27
2008-05-22,48.99
2008-05-23,48.73
2008-05-27,49.29
2008-05-28,49.9
2008-05-29,50.64
2008-05-30,50.46
2008-06-02,49.99
2008-06-03,50.49
2008-06-04,50.41
2008-06-05,52.27
2008-06-06,51.02
2008-06-09,52.06
2008-06-10,52.25
2008-06-11,51.15
2008-06-12,51.66
2008-06-13,51.72
2008-06-16,51.84
2008-06-17,51.3
2008-06-18,50.4
2008-06-19,50.42
2008-06-20,49.17
2008-06-23,49.5
2008-06-24,50.1
2008-06-25,50.8
2008-06-26,49.67
2008-06-27,49.21
2008-06-30,49.12
2008-07-01,49.84
2008-07-02,49.38
2008-07-03,49.47
2008-07-07,49.74
2008-07-08,51.66
2008-07-09,50.4
2008-07-10,50.0
2008-07-11,49.2
2008-07-14,49.22
2008-07-15,49.15
2008-07-16,49.78
2008-07-17,50.41
2008-07-18,50.62
2008-07-21,50.09
2008-07-22,51.62
2008-07-23,50.77
2008-07-24,49.79
2008-07-25,49.67
2008-07-28,48.96
2008-07-29,50.21
2008-07-30,51.18
2008-07-31,51.23
2008-08-01,50.47
2008-08-04,51.07
2008-08-05,52.74
2008-08-06,53.1
2008-08-07,49.78
2008-08-08,50.57
2008-08-11,51.18
2008-08-12,51.78
2008-08-13,50.79
2008-08-14,50.98
2008-08-15,52.1
2008-08-18,51.62
2008-08-19,51.07
2008-08-20,51.21
2008-08-21,51.34
2008-08-22,52.16
2008-08-25,51.38
2008-08-26,51.77
2008-08-27,52.03
2008-08-28,52.55
2008-08-29,51.84
2008-09-02,52.34
2008-09-03,52.47
2008-09-04,52.46
2008-09-05,53.3
2008-09-08,54.41
2008-09-09,53.64
2008-09-10,54.42
2008-09-11,55.43
2008-09-12,54.77
2008-09-15,54.08
2008-09-16,54.53
2008-09-17,52.34
2008-09-18,53.95
2008-09-19,52.39
2008-09-22,51.68
2008-09-23,51.25
2008-09-24,51.7
2008-09-25,52.76
2008-09-26,53.27
2008-09-29,51.29
2008-09-30,52.56
2008-10-01,52.35
2008-10-02,51.64
2008-10-03,52.41
2008-10-06,50.81
2008-10-07,48.12
2008-10-08,47.87
2008-10-09,45.1
2008-10-10,44.71
2008-10-13,47.83
2008-10-14,47.77
2008-10-15,43.92
2008-10-16,47.93
2008-10-17,47.18
2008-10-20,47.76
2008-10-21,47.1
2008-10-22,45.87
2008-10-23,46.3
2008-10-24,45.1
2008-10-27,43.59
2008-10-28,48.41
2008-10-29,48.28
2008-10-30,48.04
2008-10-31,48.97
2008-11-03,49.12
2008-11-04,49.26
2008-11-05,47.5
2008-11-06,46.94
2008-11-07,47.73
2008-11-10,48.42
2008-11-11,48.04
2008-11-12,46.18
2008-11-13,48.2
2008-11-14,46.25
2008-11-17,45.46
2008-11-18,46.26
2008-11-19,44.75
2008-11-20,44.46
2008-11-21,46.44
2008-11-24,46.31
2008-11-25,47.98
2008-11-26,49.75
2008-11-28,49.04
2008-12-01,46.52
2008-12-02,46.9
2008-12-03,47.72
2008-12-04,48.36
2008-12-05,51.08
2008-12-08,50.51
2008-12-09,48.97
2008-12-10,48.48
2008-12-11,48.29
2008-12-12,48.15
2008-12-15,48.22
2008-12-16,48.68
2008-12-17,48.64
2008-12-18,48.83
2008-12-19,49.13
2008-12-22,49.35
2008-12-23,48.73
2008-12-24,48.86
2008-12-26,48.78
2008-12-29,48.57
2008-12-30,48.52
2008-12-31,49.41
2009-01-02,50.39
2009-01-05,49.81
2009-01-06,49.37
2009-01-07,48.95
2009-01-08,45.28
2009-01-09,45.46
2009-01-12,45.29
2009-01-13,45.93
2009-01-14,45.44
2009-01-15,45.26
2009-01-16,45.44
2009-01-20,44.56
2009-01-21,43.31
2009-01-22,43.07
2009-01-23,42.61
2009-01-26,42.83
2009-01-27,43.0
2009-01-28,42.95
2009-01-29,42.18
2009-01-30,41.53
2009-02-02,41.04
2009-02-03,42.14
2009-02-04,40.91
2009-02-05,42.8
2009-02-06,43.74
2009-02-09,43.43
2009-02-10,42.06
2009-02-11,42.51
2009-02-12,42.42
2009-02-13,41.01
2009-02-17,42.52
2009-02-18,44.07
2009-02-19,44.46
2009-02-20,44.08
2009-02-23,43.08
2009-02-24,44.08
2009-02-25,43.37
2009-02-26,42.52
2009-02-27,43.4
2009-03-02,42.34
2009-03-03,41.76
2009-03-04,42.74
2009-03-05,43.85
2009-03-06,43.11
2009-03-09,41.87
2009-03-10,42.89
2009-03-11,42.06
2009-03-12,43.38
2009-03-13,43.6
2009-03-16,43.25
2009-03-17,44.31
2009-03-18,44.7
2009-03-19,44.27
2009-03-20,43.95
2009-03-23,45.63
2009-03-24,45.27
2009-03-25,45.8
2009-03-26,46.76
2009-03-27,46.59
2009-03-30,45.87
2009-03-31,46.18
2009-04-01,46.81
2009-04-02,47.54
2009-04-03,47.68
2009-04-06,47.35
2009-04-07,46.43
2009-04-08,46.63
2009-04-09,44.9
2009-04-13,45.67
2009-04-14,45.31
2009-04-15,45.46
2009-04-16,45.01
2009-04-17,44.49
2009-04-20,43.67
2009-04-21,44.16
2009-04-22,43.39
2009-04-23,43.3
2009-04-24,42.43
2009-04-27,42.99
2009-04-28,42.96
2009-04-29,44.71
2009-04-30,44.67
2009-05-01,44.36
2009-05-04,45.06
2009-05-05,44.72
2009-05-06,43.88
2009-05-07,44.22
2009-05-08,44.44
2009-05-11,44.87
2009-05-12,45.11
2009-05-13,44.58
2009-05-14,43.75
2009-05-15,42.91
2009-05-18,44.48
2009-05-19,43.98
2009-05-20,43.61
2009-05-21,43.76
2009-05-22,43.89
2009-05-26,44.55
2009-05-27,43.95
2009-05-28,44.15
2009-05-29,44.32
2009-06-01,45.08
2009-06-02,44.49
2009-06-03,45.34
2009-06-04,45.33
2009-06-05,45.51
2009-06-08,45.28
2009-06-09,45.1
2009-06-10,44.61
2009-06-11,43.95
2009-06-12,44.41
2009-06-15,43.18
2009-06-16,42.99
2009-06-17,43.27
2009-06-18,43.38
2009-06-19,42.92
2009-06-22,43.3
2009-06-23,43.08
2009-06-24,43.23
2009-06-25,43.8
2009-06-26,43.33
2009-06-29,43.45
2009-06-30,43.16
2009-07-01,43.1
2009-07-02,42.58
2009-07-06,42.53
2009-07-07,42.63
2009-07-08,43.1
2009-07-09,42.84
2009-07-10,42.39
2009-07-13,42.62
2009-07-14,42.89
2009-07-15,43.26
2009-07-16,43.23
2009-07-17,43.21
2009-07-20,43.5
2009-07-21,43.54
2009-07-22,43.81
2009-07-23,43.45
2009-07-24,43.61
2009-07-27,43.64
2009-07-28,43.59
2009-07-29,43.99
2009-07-30,44.54
2009-07-31,44.45
2009-08-03,44.41
2009-08-04,44.42
2009-08-05,43.84
2009-08-06,43.64
2009-08-07,43.92
2009-08-10,44.3
2009-08-11,44.59
2009-08-12,45.26
2009-08-13,46.48
2009-08-14,46.4
2009-08-17,46.2
2009-08-18,46.02
2009-08-19,46.29
2009-08-20,46.33
2009-08-21,46.02
2009-08-24,46.19
2009-08-25,46.29
2009-08-26,46.41
2009-08-27,45.91
2009-08-28,45.81
2009-08-31,45.58
2009-09-01,45.67
2009-09-02,45.62
2009-09-03,46.36
2009-09-04,46.3
2009-09-08,46.05
2009-09-09,45.79
2009-09-10,45.72
2009-09-11,45.44
2009-09-14,45.14
2009-09-15,44.74
2009-09-16,44.83
2009-09-17,44.76
2009-09-18,44.9
2009-09-21,45.61
2009-09-22,45.69
2009-09-23,45.16
2009-09-24,45.43
2009-09-25,44.32
2009-09-28,44.35
2009-09-29,44.11
2009-09-30,43.98
2009-10-01,43.9
2009-10-02,43.97
2009-10-05,43.96
2009-10-06,44.33
2009-10-07,44.34
2009-10-08,44.57
2009-10-09,44.77
2009-10-12,44.45
2009-10-13,45.1
2009-10-14,44.97
2009-10-15,45.65
2009-10-16,45.89
2009-10-19,46.49
2009-10-20,46.32
2009-10-21,45.36
2009-10-22,45.23
2009-10-23,45.19
2009-10-26,44.65
2009-10-27,44.68
2009-10-28,44.71
2009-10-29,45.16
2009-10-30,44.51
2009-11-02,45.05
2009-11-03,44.71
2009-11-04,45.14
2009-11-05,45.94
2009-11-06,45.92
2009-11-09,46.59
2009-11-10,46.87
2009-11-11,47.46
2009-11-12,47.7
2009-11-13,47.67
2009-11-16,47.63
2009-11-17,48.08
2009-11-18,48.52
2009-11-19,48.87
2009-11-20,48.63
2009-11-23,48.99
2009-11-24,49.14
2009-11-25,49.24
2009-11-27,48.95
2009-11-30,48.87
2009-12-01,49.05
2009-12-02,48.89
2009-12-03,48.78
2009-12-04,48.6
2009-12-07,49.22
2009-12-08,48.75
2009-12-09,48.69
2009-12-10,49.25
2009-12-11,49.21
2009-12-14,48.69
2009-12-15,48.61
2009-12-16,48.01
2009-12-17,47.51
2009-12-18,47.59
2009-12-21,48.09
2009-12-22,48.03
2009-12-23,48.01
2009-12-24,48.27
2009-12-28,48.61
2009-12-29,48.73
2009-12-30,48.9
2009-12-31,48.13
2010-01-04,48.83
2010-01-05,48.35
2010-01-06,48.24
2010-01-07,48.27
2010-01-08,48.02
2010-01-11,48.82
2010-01-12,49.28
2010-01-13,49.54
2010-01-14,48.82
2010-01-15,48.34
2010-01-19,48.65
2010-01-20,48.5
2010-01-21,47.65
2010-01-22,47.67
2010-01-25,47.62
2010-01-26,48.27
2010-01-27,48.09
2010-01-28,47.37
2010-01-29,48.11
2010-02-01,48.16
2010-02-02,48.17
2010-02-03,48.87
2010-02-04,47.7
2010-02-05,48.13
2010-02-08,47.66
2010-02-09,47.95
2010-02-10,47.94
2010-02-11,47.8
2010-02-12,47.64
2010-02-16,48.23
2010-02-17,48.68
2010-02-18,48.15
2010-02-19,48.17
2010-02-22,48.47
2010-02-23,48.28
2010-02-24,48.55
2010-02-25,48.76
2010-02-26,48.69
2010-03-01,48.54
2010-03-02,48.26
2010-03-03,48.32
2010-03-04,48.59
2010-03-05,48.75
2010-03-08,48.76
2010-03-09,48.68
2010-03-10,48.57
2010-03-11,48.87
2010-03-12,48.81
2010-03-15,50.19
2010-03-16,50.7
2010-03-17,50.64
2010-03-18,50.66
2010-03-19,50.11
2010-03-22,50.37
2010-03-23,50.61
2010-03-24,50.33
2010-03-25,50.36
2010-03-26,50.27
2010-03-29,50.48
2010-03-30,50.63
2010-03-31,50.35
2010-04-01,50.25
2010-04-05,50.25
2010-04-06,50.29
2010-04-07,50.06
2010-04-08,50.15
2010-04-09,49.87
2010-04-12,49.82
2010-04-13,49.55
2010-04-14,49.48
2010-04-15,49.02
2010-04-16,49.0
2010-04-19,49.25
2010-04-20,49.37
2010-04-21,49.33
2010-04-22,49.34
2010-04-23,49.38
2010-04-26,48.94
2010-04-27,48.94
2010-04-28,48.55
2010-04-29,48.63
2010-04-30,48.57
2010-05-03,48.66
2010-05-04,48.92
2010-05-05,49.6
2010-05-06,48.2
2010-05-07,47.45
2010-05-10,47.61
2010-05-11,47.51
2010-05-12,47.8
2010-05-13,47.73
2010-05-14,47.47
2010-05-17,48.03
2010-05-18,48.92
2010-05-19,48.31
2010-05-20,46.72
2010-05-21,46.79
2010-05-24,46.45
2010-05-25,45.8
2010-05-26,45.56
2010-05-27,46.18
2010-05-28,46.05
2010-06-01,46.38
2010-06-02,47.11
2010-06-03,47.11
2010-06-04,45.91
2010-06-07,46.21
2010-06-08,46.25
2010-06-09,46.44
2010-06-10,46.65
2010-06-11,46.32
2010-06-14,46.67
2010-06-15,47.03
2010-06-16,46.43
2010-06-17,46.83
2010-06-18,46.95
2010-06-21,46.47
2010-06-22,46.16
2010-06-23,46.28
2010-06-24,45.57
2010-06-25,44.45
2010-06-28,45.15
2010-06-29,44.54
2010-06-30,43.78
2010-07-01,44.03
2010-07-02,43.72
2010-07-06,44.24
2010-07-07,44.56
2010-07-08,44.79
2010-07-09,45.02
2010-07-12,45.65
2010-07-13,46.03
2010-07-14,45.86
2010-07-15,45.91
2010-07-16,45.24
2010-07-19,45.1
2010-07-20,46.34
2010-07-21,45.86
2010-07-22,46.32
2010-07-23,47.06
2010-07-26,46.57
2010-07-27,46.42
2010-07-28,46.57
2010-07-29,46.51
2010-07-30,46.62
2010-08-02,46.83
2010-08-03,46.72
2010-08-04,47.0
2010-08-05,47.02
2010-08-06,47.17
2010-08-09,47.42
2010-08-10,47.56
2010-08-11,46.74
2010-08-12,46.2
2010-08-13,46.17
2010-08-16,46.18
2010-08-17,46.74
2010-08-18,46.59
2010-08-19,45.86
2010-08-20,46.01
2010-08-23,46.85
2010-08-24,47.0
2010-08-25,47.23
2010-08-26,46.7
2010-08-27,46.72
2010-08-30,46.31
2010-08-31,45.93
2010-09-01,46.91
2010-09-02,47.42
2010-09-03,47.68
2010-09-07,47.51
2010-09-08,47.48
2010-09-09,47.56
2010-09-10,47.61
2010-09-13,47.83
2010-09-14,48.24
2010-09-15,48.43
2010-09-16,48.69
2010-09-17,48.56
2010-09-20,49.05
2010-09-21,49.08
2010-09-22,49.31
2010-09-23,49.15
2010-09-24,49.54
2010-09-27,48.99
2010-09-28,49.31
2010-09-29,48.88
2010-09-30,49.03
2010-10-01,48.88
2010-10-04,49.08
2010-10-05,49.47
2010-10-06,49.98
2010-10-07,49.8
2010-10-08,49.85
2010-10-11,50.03
2010-10-12,49.4
2010-10-13,49.31
2010-10-14,48.78
2010-10-15,48.88
2010-10-18,49.25
2010-10-19,48.85
2010-10-20,48.99
2010-10-21,49.5
2010-10-22,49.53
2010-10-25,49.43
2010-10-26,49.98
2010-10-27,49.35
2010-10-28,49.54
2010-10-29,49.63
2010-11-01,49.76
2010-11-02,50.19
2010-11-03,50.3
2010-11-04,50.72
2010-11-05,50.57
2010-11-08,50.3
2010-11-09,50.43
2010-11-10,49.94
2010-11-11,49.78
2010-11-12,49.59
2010-11-15,49.43
2010-11-16,49.71
2010-11-17,49.26
2010-11-18,49.45
2010-11-19,49.83
2010-11-22,49.82
2010-11-23,49.17
2010-11-24,49.48
2010-11-26,49.23
2010-11-29,49.33
2010-11-30,49.55
2010-12-01,50.11
2010-12-02,50.16
2010-12-03,50.04
2010-12-06,49.92
2010-12-07,50.47
2010-12-08,50.2
2010-12-09,50.06
2010-12-10,50.0
2010-12-13,49.94
2010-12-14,50.16
2010-12-15,49.96
2010-12-16,50.33
2010-12-17,50.12
2010-12-20,49.53
2010-12-21,49.42
2010-12-22,49.11
2010-12-23,49.38
2010-12-27,49.35
2010-12-28,49.51
2010-12-29,49.82
2010-12-30,49.81
2010-12-31,49.68
2011-01-03,50.26
2011-01-04,50.45
2011-01-05,50.12
2011-01-06,49.71
2011-01-07,49.82
2011-01-10,49.5
2011-01-11,50.01
2011-01-12,50.53
2011-01-13,50.47
2011-01-14,50.49
2011-01-18,50.79
2011-01-19,50.69
2011-01-20,51.58
2011-01-21,51.34
2011-01-24,51.63
2011-01-25,52.75
2011-01-26,52.8
2011-01-27,53.03
2011-01-28,52.23
2011-01-31,51.65
2011-02-01,51.89
2011-02-02,51.46
2011-02-03,51.51
2011-02-04,51.61
2011-02-07,51.65
2011-02-08,51.94
2011-02-09,52.26
2011-02-10,51.21
2011-02-11,51.3
2011-02-14,50.48
2011-02-15,50.62
2011-02-16,50.25
2011-02-17,50.44
2011-02-18,51.02
2011-02-22,49.44
2011-02-23,48.85
2011-02-24,47.99
2011-02-25,47.67
2011-02-28,47.88
2011-03-01,47.97
2011-03-02,47.87
2011-03-03,47.91
2011-03-04,47.97
2011-03-07,47.92
2011-03-08,48.31
2011-03-09,48.86
2011-03-10,48.84
2011-03-11,48.79
2011-03-14,48.54
2011-03-15,48.29
2011-03-16,47.66
2011-03-17,47.65
2011-03-18,47.79
2011-03-21,48.16
2011-03-22,48.24
2011-03-23,47.9
2011-03-24,48.79
2011-03-25,48.56
2011-03-28,48.41
2011-03-29,48.48
2011-03-30,48.57
2011-03-31,48.28
2011-04-01,48.36
2011-04-04,48.84
2011-04-05,48.92
2011-04-06,49.15
2011-04-07,49.17
2011-04-08,48.74
2011-04-11,49.0
2011-04-12,49.65
2011-04-13,49.75
2011-04-14,49.63
2011-04-15,49.68
2011-04-18,49.45
2011-04-19,49.49
2011-04-20,49.81
2011-04-21,49.7
2011-04-25,49.51
2011-04-26,50.01
2011-04-27,50.48
2011-04-28,50.73
2011-04-29,51.0
2011-05-02,51.06
2011-05-03,51.45
2011-05-04,51.36
2011-05-05,51.09
2011-05-06,51.04
2011-05-09,51.11
2011-05-10,51.51
2011-05-11,51.52
2011-05-12,52.03
2011-05-13,52.03
2011-05-16,52.35
2011-05-17,51.86
2011-05-18,51.53
2011-05-19,51.81
2011-05-20,51.63
2011-05-23,51.56
2011-05-24,51.15
2011-05-25,50.95
2011-05-26,51.0
2011-05-27,51.08
2011-05-31,51.56
2011-06-01,50.71
2011-06-02,50.0
2011-06-03,50.11
2011-06-06,50.2
2011-06-07,50.27
2011-06-08,50.14
2011-06-09,50.07
2011-06-10,49.23
2011-06-13,49.14
2011-06-14,49.41
2011-06-15,48.86
2011-06-16,49.33
2011-06-17,49.32
2011-06-20,49.53
2011-06-21,49.76
2011-06-22,49.5
2011-06-23,49.76
2011-06-24,48.94
2011-06-27,48.83
2011-06-28,49.05
2011-06-29,49.15
2011-06-30,49.62
2011-07-01,49.97
2011-07-05,49.86
2011-07-06,50.16
2011-07-07,50.88
2011-07-08,50.5
2011-07-11,50.3
2011-07-12,50.37
2011-07-13,50.44
2011-07-14,50.08
2011-07-15,50.08
2011-07-18,49.79
2011-07-19,50.4
2011-07-20,50.32
2011-07-21,50.86
2011-07-22,50.91
2011-07-25,50.4
2011-07-26,50.04
2011-07-27,49.72
2011-07-28,49.48
2011-07-29,49.22
2011-08-01,49.14
2011-08-02,48.26
2011-08-03,47.88
2011-08-04,46.78
2011-08-05,47.48
2011-08-08,45.68
2011-08-09,47.46
2011-08-10,45.53
2011-08-11,46.77
2011-08-12,46.79
2011-08-15,47.01
2011-08-16,48.83
2011-08-17,48.49
2011-08-18,48.71
2011-08-19,49.19
2011-08-22,49.09
2011-08-23,50.05
2011-08-24,50.2
2011-08-25,49.57
2011-08-26,49.76
2011-08-29,50.03
2011-08-30,49.68
2011-08-31,50.03
2011-09-01,49.52
2011-09-02,48.94
2011-09-06,48.61
2011-09-07,49.3
2011-09-08,49.11
2011-09-09,48.31
2011-09-12,48.74
2011-09-13,48.52
2011-09-14,49.1
2011-09-15,49.39
2011-09-16,49.52
2011-09-19,49.33
2011-09-20,49.18
2011-09-21,48.27
2011-09-22,47.29
2011-09-23,47.78
2011-09-26,48.75
2011-09-27,48.94
2011-09-28,48.26
2011-09-29,48.84
2011-09-30,48.81
2011-10-03,48.87
2011-10-04,49.74
2011-10-05,49.52
2011-10-06,49.61
2011-10-07,50.51
2011-10-10,51.55
2011-10-11,51.47
2011-10-12,51.92
2011-10-13,51.75
2011-10-14,52.16
2011-10-17,51.52
2011-10-18,52.57
2011-10-19,52.91
2011-10-20,53.02
2011-10-21,53.54
2011-10-24,53.4
2011-10-25,53.34
2011-10-26,53.96
2011-10-27,54.37
2011-10-28,53.75
2011-10-31,53.35
2011-11-01,52.89
2011-11-02,53.48
2011-11-03,54.01
2011-11-04,54.08
2011-11-07,54.5
2011-11-08,55.79
2011-11-09,54.6
2011-11-10,54.67
2011-11-11,55.68
2011-11-14,55.39
2011-11-15,54.04
2011-11-16,53.31
2011-11-17,53.36
2011-11-18,53.83
2011-11-21,53.29
2011-11-22,53.47
2011-11-23,53.27
2011-11-25,53.51
2011-11-28,53.85
2011-11-29,54.71
2011-11-30,55.4
2011-12-01,55.13
2011-12-02,54.64
2011-12-05,54.87
2011-12-06,55.29
2011-12-07,55.38
2011-12-08,54.87
2011-12-09,55.2
2011-12-12,54.98
2011-12-13,54.51
2011-12-14,54.56
2011-12-15,54.85
2011-12-16,55.15
2011-12-19,54.68
2011-12-20,56.02
2011-12-21,56.21
2011-12-22,56.02
2011-12-23,56.78
2011-12-27,56.62
2011-12-28,56.53
2011-12-29,56.78
2011-12-30,56.56
2012-01-03,57.1
2012-01-04,56.51
2012-01-05,56.24
2012-01-06,55.84
2012-01-09,56.01
2012-01-10,55.88
2012-01-11,56.22
2012-01-12,56.31
2012-01-13,56.35
2012-01-17,56.64
2012-01-18,56.8
2012-01-19,57.36
2012-01-20,57.74
2012-01-23,57.65
2012-01-24,58.1
2012-01-25,58.18
2012-01-26,57.7
2012-01-27,57.46
2012-01-30,58.02
2012-01-31,58.07
2012-02-01,58.85
2012-02-02,58.62
2012-02-03,58.71
2012-02-06,58.56
2012-02-07,58.39
2012-02-08,58.32
2012-02-09,58.64
2012-02-10,58.58
2012-02-13,58.48
2012-02-14,58.89
2012-02-15,58.45
2012-02-16,58.72
2012-02-17,59.13
2012-02-21,56.85
2012-02-22,55.46
2012-02-23,55.4
2012-02-24,55.64
2012-02-27,55.33
2012-02-28,55.77
2012-02-29,55.91
2012-03-01,55.67
2012-03-02,55.85
2012-03-05,56.22
2012-03-06,55.81
2012-03-07,56.65
2012-03-08,56.95
2012-03-09,57.24
2012-03-12,57.81
2012-03-13,58.12
2012-03-14,58.19
2012-03-15,58.34
2012-03-16,57.97
2012-03-19,57.87
2012-03-20,57.74
2012-03-21,57.7
2012-03-22,57.78
2012-03-23,57.88
2012-03-26,58.31
2012-03-27,58.2
2012-03-28,58.3
2012-03-29,57.95
2012-03-30,58.31
2012-04-02,58.46
2012-04-03,57.78
2012-04-04,57.41
2012-04-05,57.8
2012-04-09,57.29
2012-04-10,57.1
2012-04-11,56.98
2012-04-12,57.3
2012-04-13,56.95
2012-04-16,57.72
2012-04-17,58.95
2012-04-18,59.13
2012-04-19,58.83
2012-04-20,59.5
2012-04-23,56.73
2012-04-24,55.04
2012-04-25,54.65
2012-04-26,56.17
2012-04-27,56.24
2012-04-30,56.13
2012-05-01,56.28
2012-05-02,56.22
2012-05-03,56.2
2012-05-04,55.93
2012-05-07,56.39
2012-05-08,56.26
2012-05-09,56.62
2012-05-10,56.78
2012-05-11,57.0
2012-05-14,56.66
2012-05-15,56.93
2012-05-16,56.78
2012-05-17,59.17
2012-05-18,59.88
2012-05-21,60.47
2012-05-22,61.13
2012-05-23,61.95
2012-05-24,62.42
2012-05-25,62.65
2012-05-29,63.0
2012-05-30,62.77
2012-05-31,63.14
2012-06-01,62.88
2012-06-04,63.3
2012-06-05,62.83
2012-06-06,63.24
2012-06-07,63.18
2012-06-08,65.44
2012-06-11,64.78
2012-06-12,64.96
