"Time","1 Month Rate"
"2008-03-31","3.00"
"2008-04-01","3.00"
"2008-04-02","3.00"
"2008-04-03","3.00"
"2008-04-04","3.00"
"2008-04-07","2.95"
"2008-04-08","3.00"
"2008-04-09","3.00"
"2008-04-10","3.00"
"2008-04-11","2.95"
"2008-04-14","2.90"
"2008-04-15","2.90"
"2008-04-16","2.90"
"2008-04-17","2.90"
"2008-04-18","3.00"
"2008-04-21","3.00"
"2008-04-22","3.00"
"2008-04-23","3.00"
"2008-04-24","2.95"
"2008-04-25","3.00"
"2008-04-28","3.00"
"2008-04-29","2.90"
"2008-04-30","2.90"
"2008-05-01","2.90"
"2008-05-02","2.85"
"2008-05-05","2.85"
"2008-05-06","2.85"
"2008-05-07","2.75"
"2008-05-08","2.75"
"2008-05-09","2.65"
"2008-05-12","2.60"
"2008-05-13","2.60"
"2008-05-14","2.60"
"2008-05-15","2.60"
"2008-05-16","2.60"
"2008-05-19","2.55"
"2008-05-20","2.50"
"2008-05-21","2.45"
"2008-05-22","2.45"
"2008-05-23","2.45"
"2008-05-27","2.50"
"2008-05-28","2.50"
"2008-05-29","2.60"
"2008-05-30","2.60"
"2008-06-02","2.60"
"2008-06-03","2.60"
"2008-06-04","2.60"
"2008-06-05","2.60"
"2008-06-06","2.65"
"2008-06-09","2.65"
"2008-06-10","2.65"
"2008-06-11","2.65"
"2008-06-12","2.70"
"2008-06-13","2.65"
"2008-06-16","2.75"
"2008-06-17","2.70"
"2008-06-18","2.70"
"2008-06-19","2.70"
"2008-06-20","2.70"
"2008-06-23","2.70"
"2008-06-24","2.70"
"2008-06-25","2.70"
"2008-06-26","2.70"
"2008-06-27","2.65"
"2008-06-30","2.60"
"2008-07-01","2.65"
"2008-07-02","2.65"
"2008-07-03","2.65"
"2008-07-07","2.65"
"2008-07-08","2.65"
"2008-07-09","2.65"
"2008-07-10","2.65"
"2008-07-11","2.65"
"2008-07-14","2.65"
"2008-07-15","2.65"
"2008-07-16","2.65"
"2008-07-17","2.65"
"2008-07-18","2.60"
"2008-07-21","2.65"
"2008-07-22","2.65"
"2008-07-23","2.65"
"2008-07-24","2.65"
"2008-07-25","2.65"
"2008-07-28","2.65"
"2008-07-29","2.65"
"2008-07-30","2.65"
"2008-07-31","2.65"
"2008-08-01","2.60"
"2008-08-04","2.60"
"2008-08-05","2.60"
"2008-08-06","2.65"
"2008-08-07","2.60"
"2008-08-08","2.60"
"2008-08-11","2.60"
"2008-08-12","2.60"
"2008-08-13","2.60"
"2008-08-14","2.60"
"2008-08-15","2.60"
"2008-08-18","2.60"
"2008-08-19","2.60"
"2008-08-20","2.60"
"2008-08-21","2.60"
"2008-08-22","2.60"
"2008-08-25","2.60"
"2008-08-26","2.60"
"2008-08-27","2.60"
"2008-08-28","2.65"
"2008-08-29","2.65"
