"Date","Target","Costco","Walmart","Walgreen","Safeway","SP500"
"2008-03-31",44.99,56.45,45.85,33.63,22.66,1322.7
"2008-04-01",47.29,57.77,47.07,34.37,23.07,1370.18
"2008-04-02",47.45,57.57,47.4,33.67,22.68,1367.53
"2008-04-03",47.28,58.1,47.81,33.72,22.5,1369.31
"2008-04-04",46.76,57.74,47.35,33.46,22.33,1370.4
"2008-04-07",46.85,57.61,47.2,33.59,22.23,1372.54
"2008-04-08",47.28,58.16,47.39,33.22,22.15,1365.54
"2008-04-09",46.47,57.37,47.12,32.59,22.11,1354.49
"2008-04-10",47.2,57.8,47.57,32.33,22.31,1360.55
"2008-04-11",46.14,57.09,47.69,31.86,21.85,1332.83
"2008-04-14",46.13,56.76,48,31.29,21.54,1328.32
"2008-04-15",46.65,57.1,48.97,31.45,21.69,1334.43
"2008-04-16",47.61,58.43,49.67,31.59,20.62,1364.71
"2008-04-17",47.42,59.51,49.32,31.55,21.48,1365.56
"2008-04-18",48.47,60.33,49.01,31.75,21.86,1390.33
"2008-04-21",48.43,60.05,49.07,31.6,21.63,1388.17
"2008-04-22",46.73,59.16,49.22,31.14,21.04,1375.94
"2008-04-23",46.5,60.48,49.54,31.49,21.69,1379.93
"2008-04-24",46.96,61.01,50,31.63,22.57,1388.82
"2008-04-25",47.92,62.16,50.17,31.33,22.42,1397.84
"2008-04-28",47.89,61.54,49.91,31.33,23.08,1396.37
"2008-04-29",48.03,61.69,51.01,31.44,24.43,1390.94
"2008-04-30",47.17,61.91,50.46,30.77,24.4,1385.59
"2008-05-01",48.15,62.56,50.54,31.51,24.56,1409.34
"2008-05-02",47.86,62.68,50.04,31.15,24.26,1413.9
"2008-05-05",47.22,62.94,49.58,31.26,24.26,1407.49
"2008-05-06",47.44,63.13,49.04,31.25,23.97,1418.26
"2008-05-07",47.44,62.63,49.46,31.2,24.01,1392.57
"2008-05-08",46.47,61.87,49.75,31.05,24.15,1397.68
"2008-05-09",46.38,62.07,49.77,30.89,23.66,1388.28
"2008-05-12",47.48,64.02,50.5,31.34,24.09,1403.58
"2008-05-13",47.28,64.28,49.3,31.31,24.06,1403.04
"2008-05-14",47.81,64.63,50.21,31.87,24.93,1408.66
"2008-05-15",48.92,64.83,49.92,32.28,24.81,1423.57
"2008-05-16",48.85,63.8,49.85,32.11,24.1,1425.35
"2008-05-19",48.88,62.79,49.29,32.03,24.16,1426.63
"2008-05-20",48.32,62.17,48.9,31.94,23.96,1413.4
"2008-05-21",47.06,60.42,48.27,31.23,23.6,1390.71
"2008-05-22",47.18,61.62,48.99,31.58,23.85,1394.35
"2008-05-23",46.32,62.1,48.73,31.06,23.57,1375.93
"2008-05-27",46.42,63.21,49.29,31.55,24.06,1385.35
"2008-05-28",46.57,63.78,49.9,31.5,24.18,1390.84
"2008-05-29",47.84,63.55,50.64,31.89,24.45,1398.26
"2008-05-30",47.49,62.1,50.46,31.89,24.6,1400.38
"2008-06-02",47.01,61.24,49.99,31.97,24.22,1385.67
"2008-06-03",48.95,60.99,50.49,32.17,24.26,1377.65
"2008-06-04",48.24,61.66,50.41,32.17,24.62,1377.2
"2008-06-05",48.62,64,52.27,32.49,25.21,1404.05
"2008-06-06",46.75,61.99,51.02,31.45,24.26,1360.68
"2008-06-09",46.68,62.11,52.06,31.53,24.13,1361.76
"2008-06-10",47.34,61.36,52.25,31.6,24.03,1358.44
"2008-06-11",45.94,59.97,51.15,31.27,23.45,1335.49
"2008-06-12",46.47,59.39,51.66,31.38,23.89,1339.87
"2008-06-13",47.65,61.23,51.72,32.1,23.96,1360.03
"2008-06-16",47.25,61.32,51.84,32.09,23.78,1360.14
"2008-06-17",46.68,60.89,51.3,31.63,23.31,1350.93
"2008-06-18",45.26,60.05,50.4,31.1,23.01,1337.81
"2008-06-19",46.11,61.16,50.42,31.37,23.35,1342.83
"2008-06-20",44.49,59.85,49.17,31.04,22.97,1317.93
"2008-06-23",43.38,59.6,49.5,30.72,22.31,1318
"2008-06-24",43.76,60.31,50.1,30.09,22.96,1314.29
"2008-06-25",44.4,61.73,50.8,30.05,23.54,1321.97
"2008-06-26",42.4,60.11,49.67,29.11,22.84,1283.15
"2008-06-27",42.61,61.18,49.21,29.19,22.75,1278.38
"2008-06-30",41.38,61.08,49.12,28.78,22.1,1280
"2008-07-01",42.3,63.18,49.84,28.71,22.39,1284.91
"2008-07-02",41.56,62.81,49.38,27.79,21.69,1261.52
"2008-07-03",41.74,62.9,49.47,27.84,22.25,1262.9
"2008-07-07",41.98,63.45,49.74,28.06,22.03,1252.31
"2008-07-08",43.32,65.01,51.66,28.23,22.34,1273.7
"2008-07-09",42.12,62.83,50.4,28.41,22.1,1244.69
"2008-07-10",39.95,61.7,50,29.47,22.89,1253.39
"2008-07-11",39.82,60.81,49.2,28.96,22.52,1239.49
"2008-07-14",39.09,60.58,49.22,28.77,22.18,1228.3
"2008-07-15",38.88,60.58,49.15,28.62,22.37,1214.91
"2008-07-16",41.1,63.2,49.78,29.66,23.23,1245.36
"2008-07-17",42.34,64.55,50.41,30.37,20.73,1260.32
"2008-07-18",41.72,62.9,50.62,30.26,19.84,1260.68
"2008-07-21",40.64,60.66,50.09,29.96,19.93,1260
