"Week","Adj.Close"
"2008-04-04",36.61
"2008-04-11",35.064
"2008-04-18",33.906
"2008-04-25",34.546
"2008-05-02",35.49
"2008-05-09",35.014
"2008-05-16",33.828
"2008-05-23",32.18
"2008-05-30",31.45
"2008-06-06",30.052
"2008-06-13",27.65
"2008-06-20",26.876
"2008-06-27",24.126
"2008-07-03",21.7325
"2008-07-11",20.868
"2008-07-18",21.648
"2008-07-25",29.016
"2008-08-01",30.058
"2008-08-08",30.678
"2008-08-15",28.958
"2008-08-22",27.394
"2008-08-29",28.196
"2008-09-05",30.5875
"2008-09-12",31.87
"2008-09-19",28.982
"2008-09-26",32.856
"2008-10-03",33.362
"2008-10-10",22.708
"2008-10-17",23.098
"2008-10-24",22.038
"2008-10-31",21.604
"2008-11-07",21.156
"2008-11-14",16.982
"2008-11-21",12.636
"2008-11-28",14.6175
"2008-12-05",13.952
"2008-12-12",15.926
"2008-12-19",14.022
"2008-12-26",13.015
"2009-01-02",13.3625
"2009-01-09",13.414
"2009-01-16",9.358
"2009-01-23",5.8075
"2009-01-30",6.512
"2009-02-06",5.282
"2009-02-13",5.866
"2009-02-20",4.2075
"2009-02-27",4.518
"2009-03-06",3.366
"2009-03-13",4.924
"2009-03-20",6.528
"2009-03-27",7.392
"2009-04-03",6.822
"2009-04-09",7.72
"2009-04-17",10.308
"2009-04-24",8.436
"2009-05-01",8.518
"2009-05-08",12.094
"2009-05-15",11.43
"2009-05-22",11.184
"2009-05-29",10.915
"2009-06-05",11.312
"2009-06-12",12.34
"2009-06-19",12.674
"2009-06-26",12.112
"2009-07-02",12.7925
"2009-07-10",11.79
"2009-07-17",12.852
"2009-07-24",12.158
"2009-07-31",13.504
"2009-08-07",15.87
"2009-08-14",16.286
"2009-08-21",16.668
"2009-08-28",17.45
"2009-09-04",16.568
"2009-09-11",16.78
"2009-09-18",16.968
"2009-09-25",16.902
"2009-10-02",16.49
"2009-10-09",16.942
"2009-10-16",17.658
"2009-10-23",16.404
"2009-10-30",14.98
"2009-11-06",14.616
"2009-11-13",15.786
"2009-11-20",15.766
"2009-11-27",15.685
"2009-12-04",15.632
"2009-12-11",15.258
"2009-12-18",14.954
"2009-12-24",15.0175
"2009-12-31",14.8925
"2010-01-08",16.136
"2010-01-15",16.332
"2010-01-22",15.5425
"2010-01-29",14.856
"2010-02-05",15.014
"2010-02-12",14.308
"2010-02-19",15.3975
"2010-02-26",16.074
"2010-03-05",16.27
"2010-03-12",16.664
"2010-03-19",16.748
"2010-03-26",17.192
"2010-04-01",17.645
"2010-04-09",18.208
"2010-04-16",18.632
"2010-04-23",18.166
"2010-04-30",17.61
"2010-05-07",16.858
"2010-05-14",16.686
"2010-05-21",15.732
"2010-05-28",15.414
"2010-06-04",15.3875
"2010-06-11",15.02
"2010-06-18",15.514
"2010-06-25",15.22
"2010-07-02",14.194
"2010-07-09",14.4675
"2010-07-16",14.958
"2010-07-23",13.428
"2010-07-30",13.87
"2010-08-06",13.98
"2010-08-13",13.204
"2010-08-20",12.926
"2010-08-27",12.468
"2010-09-03",12.768
"2010-09-10",13.2175
"2010-09-17",13.466
"2010-09-24",13.328
"2010-10-01",13.018
"2010-10-08",13.132
"2010-10-15",12.726
"2010-10-22",11.574
"2010-10-29",11.236
"2010-11-05",11.618
"2010-11-12",12.212
"2010-11-19",11.64
"2010-11-26",11.0375
"2010-12-03",11.264
"2010-12-10",11.972
"2010-12-17",12.304
"2010-12-23",12.8375
"2010-12-31",13.138
"2011-01-07",14.134
"2011-01-14",14.626
"2011-01-21",14.3475
"2011-01-28",13.494
"2011-02-04",14.012
"2011-02-11",14.446
"2011-02-18",14.62
"2011-02-25",13.9425
"2011-03-04",13.908
"2011-03-11",14.212
"2011-03-18",13.808
"2011-03-25",13.51
"2011-04-01",13.204
"2011-04-08",13.374
"2011-04-15",13.072
"2011-04-21",12.185
"2011-04-29",12.19
"2011-05-06",12.256
"2011-05-13",12.018
"2011-05-20",11.616
"2011-05-27",11.34
"2011-06-03",11.255
"2011-06-10",10.572
"2011-06-17",10.588
"2011-06-24",10.568
"2011-07-01",10.842
"2011-07-08",10.715
"2011-07-15",10.046
"2011-07-22",9.786
"2011-07-29",9.724
"2011-08-05",9.064
"2011-08-12",6.982
"2011-08-19",7.234
"2011-08-26",6.944
"2011-09-02",7.882
"2011-09-09",7.09
"2011-09-16",7.06
"2011-09-23",6.46
"2011-09-30",6.276
"2011-10-07",5.788
"2011-10-14",6.264
"2011-10-21",6.332
"2011-10-28",6.796
"2011-11-04",6.6
"2011-11-11",6.212
"2011-11-18",5.872
"2011-11-25",5.2375
"2011-12-02",5.338
"2011-12-09",5.704
"2011-12-16",5.25
"2011-12-23",5.248
"2011-12-30",5.4
"2012-01-06",5.975
"2012-01-13",6.576
"2012-01-20",6.77
"2012-01-27",7.236
"2012-02-03",7.308
"2012-02-10",7.97
"2012-02-17",7.954
"2012-02-24",7.92
"2012-03-02",8.012
"2012-03-09",7.902
"2012-03-16",8.808
"2012-03-23",9.652
"2012-03-30",9.606
"2012-04-05",9.33
"2012-04-13",8.774
"2012-04-20",8.692
"2012-04-27",8.174
"2012-05-04",8.004
"2012-05-11",7.688
"2012-05-18",7.102
"2012-05-25",7.004
"2012-06-01",7.21
"2012-06-08",7.284
"2012-06-15",7.524
"2012-06-22",7.904
"2012-06-29",7.736
"2012-07-06",7.85
"2012-07-13",7.552
"2012-07-20",7.474
"2012-07-27",7.096
"2012-08-03",7.25
"2012-08-10",7.644
"2012-08-17",7.81
"2012-08-24",8.124
"2012-08-31",7.936
"2012-09-07",8.2325
"2012-09-14",9.066
"2012-09-21",9.184
"2012-09-28",8.89
"2012-10-05",9.106
"2012-10-12",9.192
"2012-10-19",9.41
"2012-10-26",9.276
"2012-11-02",9.59333333333333
"2012-11-09",9.506
"2012-11-16",9.144
"2012-11-23",9.655
"2012-11-30",9.744
"2012-12-07",10.212
"2012-12-14",10.522
"2012-12-21",11.232
"2012-12-28",11.365
"2013-01-04",11.8875
"2013-01-11",11.742
"2013-01-18",11.404
"2013-01-25",11.44
"2013-02-01",11.436
"2013-02-08",11.738
"2013-02-15",12.048
"2013-02-22",11.6725
"2013-03-01",11.172
"2013-03-08",11.812
"2013-03-15",12.15
"2013-03-22",12.606
"2013-03-28",12.2425
"2013-04-05",11.974
"2013-04-12",12.214
"2013-04-19",11.782
"2013-04-26",12.162
"2013-05-03",12.222
"2013-05-10",12.912
"2013-05-17",13.272
"2013-05-24",13.302
"2013-05-31",13.54
"2013-06-07",13.282
"2013-06-14",13.122
"2013-06-21",13.022
"2013-06-28",12.698
"2013-07-05",12.9025
"2013-07-12",13.464
"2013-07-19",14.294
"2013-07-26",14.796
"2013-08-02",14.656
"2013-08-09",14.576
"2013-08-16",14.422
"2013-08-23",14.354
"2013-08-30",14.172
"2013-09-06",14.3025
"2013-09-13",14.522
"2013-09-20",14.548
"2013-09-27",14.05
"2013-10-04",13.942
"2013-10-11",13.932
"2013-10-18",14.468
"2013-10-25",14.316
"2013-11-01",14.088
"2013-11-08",13.99
"2013-11-15",14.596
"2013-11-22",15.278
"2013-11-29",15.815
"2013-12-06",15.564
"2013-12-13",15.354
"2013-12-20",15.482
"2013-12-27",15.6675
"2014-01-03",15.895
"2014-01-10",16.658
"2014-01-17",16.878
"2014-01-24",16.8575
"2014-01-31",16.67
"2014-02-07",16.512
"2014-02-14",16.75
"2014-02-21",16.305
"2014-02-28",16.434
"2014-03-07",16.988
"2014-03-14",17.196
"2014-03-21",17.444
"2014-03-28",17.15
"2014-03-31",17.2
