"Week","Adj.Close"
"2008-04-04",22.05
"2008-04-11",20.486
"2008-04-18",19.048
"2008-04-25",18.628
"2008-05-02",18.068
"2008-05-09",16.662
"2008-05-16",15.044
"2008-05-23",14.404
"2008-05-30",14.06
"2008-06-06",13.596
"2008-06-13",11.79
"2008-06-20",10.522
"2008-06-27",8.646
"2008-07-03",8.7575
"2008-07-11",8.856
"2008-07-18",9.11
"2008-07-25",8.974
"2008-08-01",9.268
"2008-08-08",10.39
"2008-08-15",11.9
"2008-08-22",11.228
"2008-08-29",11.794
"2008-09-05",13.55
"2008-09-12",13.338
"2008-09-19",13.504
"2008-09-26",16.544
"2008-10-03",15.198
"2008-10-10",12.862
"2008-10-17",12.542
"2008-10-24",11.332
"2008-10-31",9.32
"2008-11-07",8.946
"2008-11-14",7.672
"2008-11-21",6.52
"2008-11-28",6.4875
"2008-12-05",5.994
"2008-12-12",6.044
"2008-12-19",6.044
"2008-12-26",5.765
"2009-01-02",5.295
"2009-01-09",5.62
"2009-01-16",4.416
"2009-01-23",3.515
"2009-01-30",3.552
"2009-02-06",1.77
"2009-02-13",2.222
"2009-02-20",1.7125
"2009-02-27",1.682
"2009-03-06",1.532
"2009-03-13",1.714
"2009-03-20",2.79
"2009-03-27",4.048
"2009-04-03",3.198
"2009-04-09",2.965
"2009-04-17",3.552
"2009-04-24",3.304
"2009-05-01",3.112
"2009-05-08",3.312
"2009-05-15",3.33
"2009-05-22",3.356
"2009-05-29",3.2175
"2009-06-05",3.086
"2009-06-12",3.086
"2009-06-19",2.902
"2009-06-26",2.528
"2009-07-02",2.225
"2009-07-10",2.088
"2009-07-17",2.26
"2009-07-24",2.128
"2009-07-31",2.154
"2009-08-07",2.456
"2009-08-14",3.302
"2009-08-21",3.21
"2009-08-28",3.092
"2009-09-04",2.996
"2009-09-11",2.805
"2009-09-18",2.568
"2009-09-25",2.572
"2009-10-02",2.584
"2009-10-09",2.492
"2009-10-16",2.518
"2009-10-23",2.486
"2009-10-30",2.5
"2009-11-06",2.198
"2009-11-13",1.756
"2009-11-20",1.884
"2009-11-27",1.79
"2009-12-04",1.764
"2009-12-11",1.734
"2009-12-18",1.706
"2009-12-24",1.7325
"2009-12-31",1.7225
"2010-01-08",1.964
"2010-01-15",2.144
"2010-01-22",2.0625
"2010-01-29",1.86
"2010-02-05",1.62
"2010-02-12",1.522
"2010-02-19",1.635
"2010-02-26",1.524
"2010-03-05",1.48
"2010-03-12",1.486
"2010-03-19",1.25
"2010-03-26",1.254
"2010-04-01",1.135
"2010-04-09",1.134
"2010-04-16",1.5
"2010-04-23",1.7
"2010-04-30",0.848
"2010-05-07",0.302
"2010-05-14",0.3
"2010-05-21",0.346
"2010-05-28",0.306
"2010-06-04",0.29
"2010-06-11",0.286
"2010-06-18",0.278
"2010-06-25",0.278
"2010-07-02",0.26
"2010-07-09",0.24
"2010-07-16",0.236
"2010-07-23",0.22
"2010-07-30",0.224
"2010-08-06",0.234
"2010-08-13",0.224
"2010-08-20",0.212
"2010-08-27",0.188
"2010-09-03",0.178
"2010-09-10",0.165
"2010-09-17",0.176
"2010-09-24",0.146
"2010-10-01",0.136
"2010-10-08",0.136
"2010-10-15",0.13
"2010-10-22",0.128
"2010-10-29",0.12
"2010-11-05",0.126
"2010-11-12",0.146
"2010-11-19",0.132
"2010-11-26",0.1375
"2010-12-03",0.132
"2010-12-10",0.128
"2010-12-17",0.126
"2010-12-23",0.135
"2010-12-31",0.124
"2011-01-07",0.138
"2011-01-14",0.15
"2011-01-21",0.155
"2011-01-28",0.174
"2011-02-04",0.274
"2011-02-11",0.594
"2011-02-18",0.51
"2011-02-25",0.4925
"2011-03-04",0.458
"2011-03-11",0.478
"2011-03-18",0.442
"2011-03-25",0.404
"2011-04-01",0.362
"2011-04-08",0.332
"2011-04-15",0.322
"2011-04-21",0.325
"2011-04-29",0.296
"2011-05-06",0.25
"2011-05-13",0.182
"2011-05-20",0.176
"2011-05-27",0.22
"2011-06-03",0.2075
"2011-06-10",0.238
"2011-06-17",0.204
"2011-06-24",0.198
"2011-07-01",0.256
"2011-07-08",0.235
"2011-07-15",0.228
"2011-07-22",0.216
"2011-07-29",0.222
"2011-08-05",0.214
"2011-08-12",0.2
"2011-08-19",0.248
"2011-08-26",0.222
"2011-09-02",0.228
"2011-09-09",0.2575
"2011-09-16",0.256
"2011-09-23",0.244
"2011-09-30",0.208
"2011-10-07",0.214
"2011-10-14",0.2
"2011-10-21",0.2
"2011-10-28",0.232
"2011-11-04",0.22
"2011-11-11",0.234
"2011-11-18",0.226
"2011-11-25",0.2075
"2011-12-02",0.246
"2011-12-09",0.21
"2011-12-16",0.216
"2011-12-23",0.188
"2011-12-30",0.1625
"2012-01-06",0.195
"2012-01-13",0.212
"2012-01-20",0.195
"2012-01-27",0.196
"2012-02-03",0.186
"2012-02-10",0.168
"2012-02-17",0.178
"2012-02-24",0.16
"2012-03-02",0.178
"2012-03-09",0.162
"2012-03-16",0.18
"2012-03-23",0.166
"2012-03-30",0.184
"2012-04-05",0.15
"2012-04-13",0.15
"2012-04-20",0.172
"2012-04-27",0.158
"2012-05-04",0.166
"2012-05-11",0.172
"2012-05-18",0.152
"2012-05-25",0.158
"2012-06-01",0.15
"2012-06-08",0.15
"2012-06-15",0.146
"2012-06-22",0.136
"2012-06-29",0.13
"2012-07-06",0.12
"2012-07-13",0.122
"2012-07-20",0.124
"2012-07-27",0.14
"2012-08-03",0.142
"2012-08-10",0.16
"2012-08-17",0.142
"2012-08-24",0.13
"2012-08-31",0.13
"2012-09-07",0.14
"2012-09-14",0.122
"2012-09-21",0.12
"2012-09-28",0.12
"2012-10-05",0.126
"2012-10-12",0.122
"2012-10-19",0.122
"2012-10-26",0.122
"2012-11-02",0.116666666666667
"2012-11-09",0.126
"2012-11-16",0.12
"2012-11-23",0.1175
"2012-11-30",0.114
"2012-12-07",0.116
"2012-12-14",0.12
"2012-12-21",0.106
"2012-12-28",0.1075
"2013-01-04",0.105
"2013-01-11",0.1
"2013-01-18",0.104
"2013-01-25",0.0975
"2013-02-01",0.1
"2013-02-08",0.108
"2013-02-15",0.11
"2013-02-22",0.1025
"2013-03-01",0.108
"2013-03-08",0.112
"2013-03-15",0.108
"2013-03-22",0.114
"2013-03-28",0.115
"2013-04-05",0.108
"2013-04-12",0.1
"2013-04-19",0.104
"2013-04-26",0.102
"2013-05-03",0.1
"2013-05-10",0.1
"2013-05-17",0.1
"2013-05-24",0.1
"2013-05-31",0.1225
"2013-06-07",0.118
"2013-06-14",0.12
"2013-06-21",0.124
"2013-06-28",0.12
"2013-07-05",0.12
"2013-07-12",0.116
"2013-07-19",0.12
"2013-07-26",0.126
"2013-08-02",0.164
"2013-08-09",0.124
"2013-08-16",0.112
"2013-08-23",0.148
"2013-08-30",0.13
"2013-09-06",0.1
"2013-09-13",0.144
"2013-09-20",0.154
"2013-09-27",0.144
"2013-10-04",0.15
"2013-10-11",0.122
"2013-10-18",0.126
"2013-10-25",0.126
"2013-11-01",0.12
"2013-11-08",0.106
"2013-11-15",0.146
"2013-11-22",0.134
"2013-11-29",0.13
"2013-12-06",0.132
"2013-12-13",0.128
"2013-12-20",0.128
"2013-12-27",0.1225
"2014-01-03",0.13
"2014-01-10",0.136
"2014-01-17",0.138
"2014-01-24",0.135
"2014-01-31",0.122
"2014-02-07",0.12
"2014-02-14",0.112
"2014-02-21",0.1125
"2014-02-28",0.11
"2014-03-07",0.108
"2014-03-14",0.122
"2014-03-21",0.114
"2014-03-28",0.11
"2014-03-31",0.11
