"Week","Adj.Close"
"2008-04-04",45.816
"2008-04-11",48.59
"2008-04-18",51.782
"2008-04-25",52.732
"2008-05-02",50.6
"2008-05-09",53.68
"2008-05-16",56.17
"2008-05-23",58.204
"2008-05-30",57.78
"2008-06-06",61.258
"2008-06-13",62.988
"2008-06-20",66.922
"2008-06-27",69.558
"2008-07-03",67.2075
"2008-07-11",62.408
"2008-07-18",60.426
"2008-07-25",56.444
"2008-08-01",56.516
"2008-08-08",52.078
"2008-08-15",51.296
"2008-08-22",52.282
"2008-08-29",54.494
"2008-09-05",48.3
"2008-09-12",43.708
"2008-09-19",45.012
"2008-09-26",46.126
"2008-10-03",37.866
"2008-10-10",28.032
"2008-10-17",26.262
"2008-10-24",27.122
"2008-10-31",28.834
"2008-11-07",30.55
"2008-11-14",25.58
"2008-11-21",22.128
"2008-11-28",23.35
"2008-12-05",18.954
"2008-12-12",20.596
"2008-12-19",21.074
"2008-12-26",19.0425
"2009-01-02",21.645
"2009-01-09",24.832
"2009-01-16",22.428
"2009-01-23",22.2525
"2009-01-30",22.728
"2009-02-06",20.982
"2009-02-13",21.682
"2009-02-20",21.44
"2009-02-27",22.008
"2009-03-06",19.584
"2009-03-13",21.28
"2009-03-20",22.308
"2009-03-27",23.614
"2009-04-03",23.65
"2009-04-09",26.51
"2009-04-17",28.962
"2009-04-24",30.64
"2009-05-01",30.484
"2009-05-08",32.23
"2009-05-15",30.08
"2009-05-22",30.812
"2009-05-29",32.005
"2009-06-05",33.574
"2009-06-12",32.81
"2009-06-19",30.366
"2009-06-26",28.886
"2009-07-02",29.185
"2009-07-10",26.704
"2009-07-17",29.338
"2009-07-24",31.838
"2009-07-31",32.268
"2009-08-07",33.648
"2009-08-14",32.322
"2009-08-21",31.636
"2009-08-28",32.918
"2009-09-04",31.796
"2009-09-11",34.995
"2009-09-18",37.756
"2009-09-25",36.694
"2009-10-02",37.042
"2009-10-09",39.032
"2009-10-16",41.08
"2009-10-23",42.346
"2009-10-30",38.266
"2009-11-06",36.778
"2009-11-13",37.028
"2009-11-20",36.342
"2009-11-27",36.86
"2009-12-04",35.78
"2009-12-11",35.858
"2009-12-18",38.022
"2009-12-24",39.8075
"2009-12-31",39.375
"2010-01-08",43.516
"2010-01-15",45.144
"2010-01-22",44.7825
"2010-01-29",42.384
"2010-02-05",40.238
"2010-02-12",39.378
"2010-02-19",42.08
"2010-02-26",39.664
"2010-03-05",38.988
"2010-03-12",38.77
"2010-03-19",38.282
"2010-03-26",36.232
"2010-04-01",36.5275
"2010-04-09",37.738
"2010-04-16",38.074
"2010-04-23",39.972
"2010-04-30",40.292
"2010-05-07",37
"2010-05-14",35.918
"2010-05-21",33.962
"2010-05-28",33.788
"2010-06-04",36.925
"2010-06-11",38.678
"2010-06-18",40.642
"2010-06-25",38.594
"2010-07-02",35.582
"2010-07-09",37.81
"2010-07-16",38.168
"2010-07-23",38.68
"2010-07-30",39.268
"2010-08-06",39.552
"2010-08-13",37.442
"2010-08-20",36.052
"2010-08-27",35.752
"2010-09-03",37.014
"2010-09-10",37.85
"2010-09-17",38.398
"2010-09-24",37.79
"2010-10-01",38.534
"2010-10-08",39.83
"2010-10-15",41.796
"2010-10-22",40.688
"2010-10-29",40.682
"2010-11-05",41.606
"2010-11-12",43.364
"2010-11-19",44.308
"2010-11-26",43.8775
"2010-12-03",45.202
"2010-12-10",45.84
"2010-12-17",46.562
"2010-12-23",46.93
"2010-12-31",46.94
"2011-01-07",47.01
"2011-01-14",47.84
"2011-01-21",49.2525
"2011-01-28",51.19
"2011-02-04",56.92
"2011-02-11",57.364
"2011-02-18",59.03
"2011-02-25",60.7075
"2011-03-04",61.864
"2011-03-11",60.064
"2011-03-18",59.622
"2011-03-25",61.756
"2011-04-01",65.568
"2011-04-08",65.836
"2011-04-15",63.954
"2011-04-21",65.7325
"2011-04-29",65.8
"2011-05-06",57.61
"2011-05-13",57.336
"2011-05-20",57.262
"2011-05-27",59.13
"2011-06-03",61.035
"2011-06-10",59.412
"2011-06-17",57.218
"2011-06-24",58.73
"2011-07-01",62.248
"2011-07-08",66.06
"2011-07-15",65.536
"2011-07-22",68.822
"2011-07-29",68.888
"2011-08-05",60.45
"2011-08-12",53.858
"2011-08-19",53.458
"2011-08-26",49.924
"2011-09-02",54.586
"2011-09-09",52.715
"2011-09-16",52
"2011-09-23",46.808
"2011-09-30",42.344
"2011-10-07",39.504
"2011-10-14",44.888
"2011-10-21",45.7
"2011-10-28",50.94
"2011-11-04",51.17
"2011-11-11",52.616
"2011-11-18",53.012
"2011-11-25",50.505
"2011-12-02",54.266
"2011-12-09",57.736
"2011-12-16",54.106
"2011-12-23",55.71
"2011-12-30",56.5125
"2012-01-06",60.815
"2012-01-13",59.974
"2012-01-20",57.8475
"2012-01-27",59.346
"2012-02-03",59.494
"2012-02-10",58.52
"2012-02-17",58.374
"2012-02-24",60.8325
"2012-03-02",59.76
"2012-03-09",57.766
"2012-03-16",57.444
"2012-03-23",55.102
"2012-03-30",52.21
"2012-04-05",52.61
"2012-04-13",51.324
"2012-04-20",50.496
"2012-04-27",51.054
"2012-05-04",48.664
"2012-05-11",45.526
"2012-05-18",42.628
"2012-05-25",44.58
"2012-06-01",44.385
"2012-06-08",45.016
"2012-06-15",43.15
"2012-06-22",42.866
"2012-06-29",39.706
"2012-07-06",43.1725
"2012-07-13",41.776
"2012-07-20",43.608
"2012-07-27",44.132
"2012-08-03",45.596
"2012-08-10",47.098
"2012-08-17",47.04
"2012-08-24",46.678
"2012-08-31",44.348
"2012-09-07",44.3575
"2012-09-14",47.686
"2012-09-21",47.926
"2012-09-28",46.098
"2012-10-05",45.286
"2012-10-12",46.832
"2012-10-19",49.582
"2012-10-26",47.75
"2012-11-02",47.05
"2012-11-09",46.086
"2012-11-16",46.44
"2012-11-23",50.035
"2012-11-30",49.712
"2012-12-07",53.022
"2012-12-14",53.248
"2012-12-21",54.612
"2012-12-28",54.01
"2013-01-04",55.4775
"2013-01-11",56.29
"2013-01-18",57.876
"2013-01-25",60.075
"2013-02-01",61.83
"2013-02-08",62.6
"2013-02-15",64.728
"2013-02-22",64.31
"2013-03-01",63.656
"2013-03-08",63.086
"2013-03-15",63.004
"2013-03-22",59.69
"2013-03-28",59.35
"2013-04-05",58.376
"2013-04-12",60.66
"2013-04-19",56.124
"2013-04-26",57.94
"2013-05-03",57.92
"2013-05-10",61.146
"2013-05-17",61.564
"2013-05-24",62.212
"2013-05-31",61.91
"2013-06-07",61.658
"2013-06-14",60.788
"2013-06-21",61.436
"2013-06-28",61.404
"2013-07-05",62.935
"2013-07-12",63.84
"2013-07-19",64.37
"2013-07-26",64.832
"2013-08-02",62.708
"2013-08-09",65.744
"2013-08-16",65.264
"2013-08-23",63.54
"2013-08-30",62.688
"2013-09-06",63.065
"2013-09-13",65.998
"2013-09-20",68.796
"2013-09-27",68.22
"2013-10-04",70.646
"2013-10-11",71.454
"2013-10-18",74.486
"2013-10-25",75.132
"2013-11-01",76.61
"2013-11-08",76.342
"2013-11-15",77.126
"2013-11-22",78.274
"2013-11-29",77.025
"2013-12-06",79.184
