"Week","Adj.Close"
"2008-04-04",47.096
"2008-04-11",47.394
"2008-04-18",48.994
"2008-04-25",49.6
"2008-05-02",50.392
"2008-05-09",49.52
"2008-05-16",49.956
"2008-05-23",48.836
"2008-05-30",50.0725
"2008-06-06",50.836
"2008-06-13",51.768
"2008-06-20",50.626
"2008-06-27",49.856
"2008-07-03",49.4525
"2008-07-11",50.2
"2008-07-18",49.836
"2008-07-25",50.388
"2008-08-01",50.41
"2008-08-08",51.452
"2008-08-15",51.366
"2008-08-22",51.48
"2008-08-29",51.914
"2008-09-05",52.6425
"2008-09-12",54.534
"2008-09-19",53.458
"2008-09-26",52.132
"2008-10-03",52.05
"2008-10-10",47.322
"2008-10-17",46.926
"2008-10-24",46.426
"2008-10-31",47.458
"2008-11-07",48.11
"2008-11-14",47.418
"2008-11-21",45.474
"2008-11-28",48.27
"2008-12-05",48.116
"2008-12-12",48.88
"2008-12-19",48.7
"2008-12-26",48.93
"2009-01-02",49.2225
"2009-01-09",47.774
"2009-01-16",45.472
"2009-01-23",43.3875
"2009-01-30",42.498
"2009-02-06",42.126
"2009-02-13",42.286
"2009-02-20",43.7825
"2009-02-27",43.29
"2009-03-06",42.76
"2009-03-13",42.76
"2009-03-20",44.096
"2009-03-27",46.01
"2009-04-03",46.816
"2009-04-09",46.3275
"2009-04-17",45.188
"2009-04-24",43.39
"2009-05-01",43.938
"2009-05-08",44.464
"2009-05-15",44.244
"2009-05-22",43.944
"2009-05-29",44.2425
"2009-06-05",45.15
"2009-06-12",44.67
"2009-06-19",43.148
"2009-06-26",43.348
"2009-07-02",43.0725
"2009-07-10",42.698
"2009-07-17",43.042
"2009-07-24",43.582
"2009-07-31",44.042
"2009-08-07",44.046
"2009-08-14",45.406
"2009-08-21",46.172
"2009-08-28",46.122
"2009-09-04",45.906
"2009-09-11",45.75
"2009-09-18",44.874
"2009-09-25",45.242
"2009-10-02",44.062
"2009-10-09",44.394
"2009-10-16",45.212
"2009-10-23",45.718
"2009-10-30",44.742
"2009-11-06",45.352
"2009-11-13",47.258
"2009-11-20",48.346
"2009-11-27",49.08
"2009-12-04",48.838
"2009-12-11",49.024
"2009-12-18",48.082
"2009-12-24",48.1
"2009-12-31",48.5925
"2010-01-08",48.342
"2010-01-15",48.96
"2010-01-22",48.1175
"2010-01-29",47.892
"2010-02-05",48.206
"2010-02-12",47.798
"2010-02-19",48.3075
"2010-02-26",48.55
"2010-03-05",48.492
"2010-03-12",48.738
"2010-03-19",50.46
"2010-03-26",50.388
"2010-04-01",50.4275
"2010-04-09",50.124
"2010-04-16",49.374
"2010-04-23",49.334
"2010-04-30",48.726
"2010-05-07",48.566
"2010-05-14",47.624
"2010-05-21",47.754
"2010-05-28",46.008
"2010-06-04",46.6275
"2010-06-11",46.374
"2010-06-18",46.782
"2010-06-25",45.786
"2010-07-02",44.244
"2010-07-09",44.6525
"2010-07-16",45.738
"2010-07-23",46.136
"2010-07-30",46.538
"2010-08-06",46.948
"2010-08-13",46.818
"2010-08-20",46.276
"2010-08-27",46.9
"2010-09-03",46.85
"2010-09-10",47.54
"2010-09-17",48.35
"2010-09-24",49.226
"2010-10-01",49.018
"2010-10-08",49.636
"2010-10-15",49.28
"2010-10-22",49.224
"2010-10-29",49.586
"2010-11-05",50.308
"2010-11-12",50.008
"2010-11-19",49.536
"2010-11-26",49.425
"2010-12-03",49.838
"2010-12-10",50.13
"2010-12-17",50.102
"2010-12-23",49.36
