Date,Open,High,Low,Close,Volume,Adj Close
2008-03-31,21.8,23.0,21.8,22.27,70600,21.53
2008-04-01,22.77,24.59,22.38,23.87,134200,23.08
2008-04-02,23.82,24.34,23.47,23.79,98400,23.0
2008-04-03,23.53,23.71,22.0,22.43,123300,21.69
2008-04-04,22.5,22.56,21.4,21.67,61500,20.95
2008-04-07,21.87,22.0,21.19,21.66,28000,20.94
2008-04-08,21.45,21.8,21.01,21.36,24500,20.65
2008-04-09,21.4,21.4,20.18,20.56,67000,19.88
2008-04-10,20.33,21.63,20.33,21.48,40300,20.77
2008-04-11,21.25,21.25,20.41,20.88,87100,20.19
2008-04-14,20.86,20.92,19.76,19.87,97100,19.21
2008-04-15,19.75,19.84,19.26,19.5,70400,18.85
2008-04-16,19.61,20.7,19.56,20.29,107700,19.62
2008-04-17,20.04,20.04,19.01,19.57,82200,18.92
2008-04-18,20.0,20.14,19.0,19.28,94300,18.64
2008-04-21,19.16,20.19,18.3,18.81,85800,18.19
2008-04-22,18.76,19.0,18.6,18.91,66700,18.28
2008-04-23,19.14,19.14,18.63,19.12,75400,18.49
2008-04-24,19.2,19.97,18.84,19.77,49500,19.12
2008-04-25,20.12,20.12,18.92,19.71,67300,19.06
2008-04-28,19.6,19.6,18.6,18.75,88300,18.13
2008-04-29,18.75,18.87,18.37,18.57,46200,17.96
2008-04-30,18.66,18.95,18.07,18.12,317200,17.52
2008-05-01,18.09,19.18,18.09,19.18,185600,18.55
2008-05-02,19.39,19.46,18.55,18.8,479800,18.18
2008-05-05,18.78,18.85,18.08,18.3,417500,17.69
2008-05-06,18.15,18.43,17.81,17.86,752500,17.27
2008-05-07,18.0,18.14,16.95,17.02,132300,16.46
2008-05-08,17.06,17.59,16.26,16.39,675300,15.85
2008-05-09,16.19,16.67,16.19,16.59,114100,16.04
2008-05-12,16.56,16.6,15.6,16.08,189800,15.55
2008-05-13,16.15,16.25,15.76,15.82,140500,15.3
2008-05-14,15.93,16.04,15.33,15.33,86500,14.82
2008-05-15,15.28,15.42,14.8,15.34,135100,14.83
