Date,Open,High,Low,Close,Volume,Adj Close
2008-03-31,42.71,44.25,42.61,42.95,28920400,37.35
2008-04-01,45.13,47.0,44.66,47.0,54562600,40.87
2008-04-02,47.08,47.56,45.94,46.24,36597900,40.54
2008-04-03,45.37,47.03,45.32,46.28,30314400,40.57
2008-04-04,45.85,46.44,45.12,45.57,29875900,39.95
2008-04-07,46.43,46.74,45.47,45.54,24069200,39.92
2008-04-08,45.24,45.61,44.43,44.86,29187700,39.33
2008-04-09,45.18,45.18,44.08,44.3,28476400,38.83
2008-04-10,44.2,44.81,43.58,43.86,30230100,38.45
2008-04-11,43.32,43.9,42.43,42.53,41959900,37.28
2008-04-14,42.4,42.8,41.17,41.5,33774900,36.38
2008-04-15,42.18,42.7,41.28,42.12,37271800,36.92
2008-04-16,43.53,44.96,43.1,44.96,52568400,39.41
2008-04-17,44.34,45.32,44.17,45.12,30302500,39.55
2008-04-18,46.33,46.86,45.42,45.76,31398100,40.11
2008-04-21,45.29,45.48,44.6,45.23,23513400,39.65
2008-04-22,44.96,45.8,44.75,45.65,23703800,40.02
2008-04-23,45.41,46.04,44.69,45.15,23260300,39.58
2008-04-24,45.37,47.34,45.34,46.97,37769300,41.18
2008-04-25,47.29,47.87,46.54,47.79,24266600,41.89
2008-04-28,47.67,48.09,46.81,47.34,27175000,41.5
2008-04-29,47.34,47.74,46.62,47.08,20738700,41.27
2008-04-30,47.25,48.64,46.73,47.65,36280800,41.77
2008-05-01,47.68,49.48,47.68,49.25,31723700,43.17
2008-05-02,49.9,49.95,48.03,48.66,27942900,42.66
2008-05-05,48.32,48.64,47.85,48.0,19276100,42.08
2008-05-06,47.34,48.7,47.25,48.2,25441400,42.25
2008-05-07,48.22,48.43,46.39,46.57,27636400,40.82
2008-05-08,46.98,47.0,45.31,46.05,26106000,40.37
2008-05-09,45.75,46.93,45.52,46.57,21730400,40.82
2008-05-12,46.82,47.29,46.51,47.24,20295600,41.41
2008-05-13,47.04,47.24,45.22,45.48,27485300,39.87
2008-05-14,46.0,46.37,45.3,45.91,24138200,40.25
2008-05-15,46.05,47.04,45.58,47.02,27289500,41.22
2008-05-16,47.32,47.32,46.05,46.53,20871400,40.79
2008-05-19,46.55,47.22,45.87,45.99,19402200,40.32
2008-05-20,45.66,45.66,43.5,43.7,48996100,38.31
2008-05-21,43.8,44.05,42.33,42.42,40611900,37.19
2008-05-22,42.4,43.73,42.1,43.05,28883300,37.74
2008-05-23,42.72,42.9,42.12,42.32,21440900,37.1
2008-05-27,42.4,43.4,42.3,43.01,28457800,37.7
2008-05-28,43.39,43.43,41.9,42.86,31688700,37.57
2008-05-29,42.69,44.06,42.29,43.57,22789000,38.19
2008-05-30,43.96,43.99,42.87,43.0,21391600,37.7
2008-06-02,42.63,42.77,41.66,42.15,30620500,36.95
2008-06-03,42.53,42.69,41.19,41.89,28503100,36.72
2008-06-04,41.74,42.35,41.16,41.63,30800100,36.49
2008-06-05,41.9,42.32,41.4,42.1,27755300,36.91
2008-06-06,41.79,41.79,39.95,40.09,39887900,35.14
2008-06-09,40.32,40.33,36.42,37.51,74856700,32.88
2008-06-10,37.23,39.23,37.16,38.29,54412400,33.57
2008-06-11,38.5,38.75,37.07,37.13,50965800,32.55
2008-06-12,37.71,38.75,37.63,38.01,53247700,33.32
2008-06-13,38.39,39.59,37.8,39.58,40465600,34.7
2008-06-16,39.48,40.65,39.1,39.94,34860200,35.01
2008-06-17,40.36,40.75,38.95,39.04,32510200,34.22
2008-06-18,38.53,39.25,37.93,38.74,35513700,33.96
2008-06-19,38.79,39.03,36.82,38.65,59944400,33.88
2008-06-20,37.69,39.19,36.95,37.86,55374100,33.19
2008-06-23,37.99,37.99,36.51,36.87,37741100,32.32
2008-06-24,36.81,38.26,36.25,37.72,43526200,33.07
2008-06-25,37.94,39.32,37.5,37.91,42317900,33.23
2008-06-26,37.16,37.58,36.2,36.32,45708400,31.84
2008-06-27,36.45,36.89,34.2,35.05,69316700,30.73
2008-06-30,34.86,35.5,33.96,34.31,50792600,30.08
2008-07-01,33.69,34.34,32.33,34.02,74620100,30.16
2008-07-02,34.36,35.75,34.23,34.6,51750200,30.67
2008-07-03,35.12,36.09,34.49,35.31,33028500,31.3
2008-07-07,35.5,35.95,33.56,34.04,48883600,30.17
2008-07-08,34.3,36.05,33.42,35.77,62285100,31.71
2008-07-09,35.74,36.74,34.09,34.28,50971000,30.39
2008-07-10,34.0,35.8,33.55,34.51,47807900,30.59
2008-07-11,33.38,34.45,32.09,33.16,71316700,29.39
2008-07-14,34.19,34.35,31.68,31.69,50370200,28.09
2008-07-15,30.73,32.82,29.24,31.02,88717800,27.5
2008-07-16,32.3,35.94,31.5,35.94,79957800,31.86
2008-07-17,38.05,40.99,37.8,40.8,132114600,36.17
2008-07-18,41.2,41.32,39.2,40.02,65409900,35.48
2008-07-21,40.34,40.95,38.35,38.65,41354400,34.26
2008-07-22,38.16,41.04,37.61,40.86,50104200,36.22
2008-07-23,40.91,43.0,39.37,41.96,59345600,37.2
2008-07-24,42.06,42.28,39.04,39.14,47454600,34.7
2008-07-25,39.17,40.44,38.48,39.52,35188000,35.03
2008-07-28,39.41,40.65,37.41,37.66,41673200,33.38
2008-07-29,37.94,40.75,37.18,40.75,50527400,36.12
2008-07-30,41.41,42.07,39.97,41.57,47954900,36.85
2008-07-31,40.63,41.96,40.3,40.63,37394100,36.02
2008-08-01,41.11,41.75,39.77,40.76,30773300,36.13
2008-08-04,40.14,40.89,38.91,40.14,27748000,35.58
2008-08-05,41.27,42.0,40.21,41.89,35763100,37.13
2008-08-06,41.35,42.27,40.34,41.39,33009400,36.69
2008-08-07,40.68,41.55,39.48,39.81,42712200,35.29
2008-08-08,39.51,41.65,39.4,41.07,37174200,36.41
