Date,Open,High,Low,Close,Volume,Adj Close
2008-03-31,28.37,29.38,28.35,29.35,5957000,22.66
2008-04-01,29.75,30.14,29.6,29.89,6392300,23.07
2008-04-02,29.98,30.04,29.2,29.38,4177100,22.68
2008-04-03,29.26,29.6,28.97,29.14,2666200,22.5
2008-04-04,29.13,29.23,28.71,28.93,2467200,22.33
2008-04-07,29.12,29.12,28.74,28.79,3027000,22.23
2008-04-08,28.8,28.96,27.9,28.69,3055400,22.15
2008-04-09,28.59,28.81,28.0,28.64,4441900,22.11
2008-04-10,28.69,29.19,28.45,28.9,3771800,22.31
2008-04-11,28.55,29.05,28.2,28.3,2588000,21.85
2008-04-14,28.21,28.38,27.84,27.9,3136500,21.54
2008-04-15,28.02,28.18,27.75,28.09,3938400,21.69
2008-04-16,28.05,28.05,25.75,26.71,15885600,20.62
2008-04-17,26.69,27.96,26.65,27.83,6168300,21.48
2008-04-18,28.0,28.4,27.5,28.31,4767000,21.86
2008-04-21,28.23,28.36,27.64,28.02,4938800,21.63
2008-04-22,27.9,27.9,26.97,27.25,4835000,21.04
2008-04-23,27.31,28.49,27.06,28.09,5878900,21.69
2008-04-24,28.4,29.88,28.25,29.23,9715200,22.57
2008-04-25,29.56,30.0,28.64,29.04,5362000,22.42
2008-04-28,28.86,30.1,28.86,29.9,5740000,23.08
2008-04-29,29.72,31.85,29.72,31.64,8818900,24.43
2008-04-30,31.62,32.07,31.24,31.6,6581800,24.4
2008-05-01,31.44,31.97,31.0,31.82,6391500,24.56
2008-05-02,31.92,32.14,31.14,31.43,4200700,24.26
2008-05-05,31.18,31.76,31.05,31.43,3447000,24.26
2008-05-06,31.26,31.43,30.3,31.05,4381400,23.97
2008-05-07,31.05,31.58,31.05,31.1,3222800,24.01
2008-05-08,31.22,31.6,30.83,31.28,2454200,24.15
2008-05-09,31.0,31.19,30.29,30.65,3924400,23.66
2008-05-12,30.78,31.32,30.63,31.2,4064300,24.09
2008-05-13,31.32,31.57,30.91,31.17,2951900,24.06
2008-05-14,32.0,32.62,31.17,32.29,5937500,24.93
2008-05-15,32.25,32.25,31.54,32.14,4094400,24.81
2008-05-16,31.26,31.83,30.78,31.22,5979200,24.1
2008-05-19,31.17,31.76,31.08,31.3,3222400,24.16
2008-05-20,31.03,31.22,30.71,31.04,3784400,23.96
2008-05-21,31.04,31.56,30.54,30.57,2738200,23.6
2008-05-22,30.52,30.93,30.29,30.9,2516000,23.85
2008-05-23,30.75,30.81,30.14,30.53,3438200,23.57
2008-05-27,30.6,31.5,30.55,31.17,4567100,24.06
2008-05-28,31.31,31.33,30.75,31.32,2923200,24.18
2008-05-29,31.16,31.92,31.04,31.67,2894600,24.45
2008-05-30,31.7,32.01,31.46,31.87,3046600,24.6
2008-06-02,31.81,31.83,30.63,31.37,4844300,24.22
2008-06-03,31.53,31.77,31.21,31.43,3974400,24.26
2008-06-04,31.4,32.03,31.1,31.89,5315100,24.62
2008-06-05,31.88,32.65,31.75,32.65,4032900,25.21
2008-06-06,31.96,32.69,31.24,31.43,4584800,24.26
2008-06-09,31.65,31.69,30.93,31.26,4037600,24.13
2008-06-10,30.98,31.42,30.87,31.13,2929700,24.03
2008-06-11,30.54,31.12,27.73,30.37,3731100,23.45
2008-06-12,30.5,31.39,30.4,30.95,2753700,23.89
2008-06-13,30.84,31.11,30.34,31.04,4269400,23.96
2008-06-16,30.74,31.15,30.57,30.8,3283800,23.78
2008-06-17,31.01,31.01,30.2,30.2,2941700,23.31
2008-06-18,30.07,30.32,29.69,29.81,3858600,23.01
2008-06-19,29.63,30.38,29.63,30.25,2734300,23.35
2008-06-20,29.79,30.12,29.15,29.76,5532100,22.97
2008-06-23,29.77,29.97,28.64,28.9,4154700,22.31
2008-06-24,28.85,29.97,28.75,29.65,5427200,22.96
2008-06-25,29.71,30.78,29.59,30.41,6462600,23.54
2008-06-26,30.11,30.11,29.44,29.5,3855900,22.84
2008-06-27,29.65,29.95,29.21,29.38,4733600,22.75
2008-06-30,28.7,29.2,28.23,28.55,5549900,22.1
2008-07-01,28.36,29.0,28.04,28.92,6384400,22.39
2008-07-02,28.08,28.88,28.02,28.02,4207400,21.69
2008-07-03,28.28,29.21,28.25,28.74,3280100,22.25
2008-07-07,28.8,29.44,27.97,28.45,5197200,22.03
2008-07-08,28.5,29.13,28.45,28.86,5879400,22.34
2008-07-09,28.95,29.11,28.46,28.55,4163700,22.1
2008-07-10,28.6,29.75,28.28,29.57,8342200,22.89
2008-07-11,29.19,29.47,28.27,29.09,6192900,22.52
2008-07-14,29.42,29.43,28.19,28.65,4235700,22.18
2008-07-15,28.37,29.02,28.05,28.9,6485000,22.37
2008-07-16,28.77,30.09,28.65,30.01,6259900,23.23
2008-07-17,29.95,29.95,26.23,26.78,14565800,20.73
2008-07-18,26.79,26.97,25.5,25.62,8993000,19.84
